date,price
2014-06-20,19.5027
2014-06-27,19.4407
2014-07-03,19.588
2014-07-11,19.4562
2014-07-18,19.526
2014-07-25,19.4097
2014-08-01,18.9289
2014-08-08,19.0219
2014-08-15,19.2546
2014-08-22,19.6268
2014-08-29,19.7043
2014-09-05,19.782
2014-09-12,19.6192
2014-09-19,19.8827
2014-09-26,19.6252
2014-10-03,19.5237
2014-10-10,19.0319
2014-10-17,18.9148
2014-10-24,19.5862
2014-10-31,20.0936
2014-11-07,20.2263
2014-11-14,20.32
2014-11-21,20.601
2014-11-28,20.6869
2014-12-05,20.7883
2014-12-12,20.0858
2014-12-19,20.7259
2014-12-26,21.0762
2015-01-02,20.763
2015-01-09,20.669
2015-01-16,20.471
2015-01-23,20.6455
2015-01-30,20.0111
2015-02-06,20.575
2015-02-13,20.9353
2015-02-20,21.0528
2015-02-27,21.0684
2015-03-06,20.6298
2015-03-13,20.4967
2015-03-20,21.0136
2015-03-27,20.5887
2015-04-02,20.6834
2015-04-10,21.0775
2015-04-17,20.7386
2015-04-24,21.1248
2015-05-01,21.0223
2015-05-08,21.0933
2015-05-15,21.1958
2015-05-22,21.1642
2015-05-29,21.0223
2015-06-05,20.8016
2015-06-12,20.8411
2015-06-19,21.0303
2015-06-26,20.8955
2015-07-02,20.6972
2015-07-10,20.7606
2015-07-17,20.9986
2015-07-24,20.5136
2015-07-31,20.9031
2015-08-07,20.713
2015-08-14,20.8576
2015-08-21,19.8959
2015-08-28,19.8019
2015-09-04,19.2454
2015-09-11,19.5469
2015-09-18,19.4993
2015-09-25,19.3668
2015-10-02,19.6782
2015-10-09,20.4134
2015-10-16,20.4848
2015-10-23,20.9097
2015-10-30,20.9081
2015-11-06,20.9401
2015-11-13,20.3571
2015-11-20,20.9248
2015-11-27,21.0039
2015-12-04,20.964
2015-12-11,20.2453
2015-12-18,20.2275
2015-12-24,20.8092
2015-12-31,20.6334
2016-01-08,19.501
2016-01-15,19.2166
2016-01-22,19.4528
2016-01-29,19.9427
2016-02-05,19.5732
2016-02-12,19.4929
2016-02-19,20.0311
2016-02-26,20.2559
2016-03-04,20.7298
2016-03-11,20.9627
2016-03-18,21.2519
2016-03-24,21.1054
2016-04-01,21.4771
2016-04-08,21.2347
2016-04-15,21.5902
2016-04-22,21.768
2016-04-29,21.5902
2016-05-06,21.5417
2016-05-13,21.4448
2016-05-20,21.4933
2016-05-27,21.9538
2016-06-03,22.0185
2016-06-10,22.0346
2016-06-17,21.8245
2016-06-24,21.4913
2016-07-01,22.1987
2016-07-08,22.4752
2016-07-15,22.8004
2016-07-22,22.9143
2016-07-29,22.8329
2016-08-05,22.8655
2016-08-12,22.898
2016-08-19,22.9224
2016-08-26,22.8085
2016-09-02,22.9387
2016-09-09,22.3125
2016-09-16,22.3125
2016-09-23,22.5727
2016-09-30,22.6032
2016-10-07,22.4641
2016-10-14,22.222
2016-10-21,22.2759
2016-10-28,22.2677
2016-11-04,21.9158
2016-11-11,22.9715
2016-11-18,23.0942
2016-11-25,23.4134
2016-12-02,23.3234
2016-12-09,23.9944
2016-12-16,23.9699
2016-12-23,23.9958
2016-12-30,23.7737
2017-01-06,24.0345
2017-01-13,23.9793
2017-01-20,23.9629
2017-01-27,24.185
2017-02-03,24.2755
2017-02-10,24.514
2017-02-17,25.0076
2017-02-24,25.2379
2017-03-03,25.3942
2017-03-10,25.3613
2017-03-17,25.4107
2017-03-24,25.0657
2017-03-31,25.1815
2017-04-07,25.0823
2017-04-13,24.7928
2017-04-21,25.0574
2017-04-28,25.4213
2017-05-05,25.5619
2017-05-12,25.4379
2017-05-19,25.3552
2017-05-26,25.7025
2017-06-02,25.9837
2017-06-09,26.0002
2017-06-16,26.0746
2017-06-23,26.1077
2017-06-30,26.055
2017-07-07,26.105
2017-07-14,26.3213
2017-07-21,26.3795
2017-07-28,26.3046
2017-08-04,26.4627
2017-08-11,26.2048
2017-08-18,26.0301
2017-08-25,26.2297
2017-09-01,26.5126
2017-09-08,26.4377
2017-09-15,26.9618
2017-09-22,26.9868
2017-09-29,27.1498
2017-10-06,27.4341
2017-10-13,27.5344
2017-10-20,27.8856
2017-10-27,27.9023
2017-11-03,27.9441
2017-11-10,27.8605
2017-11-17,27.9441
2017-11-24,28.1281
2017-12-01,28.8472
2017-12-08,28.9642
2017-12-15,29.1983
2017-12-22,29.3022
2017-12-29,29.2434
2018-01-05,29.8319
2018-01-12,30.3028
2018-01-19,30.6812
2018-01-26,31.2781
2018-02-02,30.0337
2018-02-09,28.5791
2018-02-16,29.8572
2018-02-23,29.8488
2018-03-02,29.2013
2018-03-09,30.1178
2018-03-16,29.7058
2018-03-23,27.972
2018-03-29,28.6654
2018-04-06,28.3102
2018-04-13,28.7499
2018-04-20,28.8345
2018-04-27,28.8683
2018-05-04,28.6654
2018-05-11,29.2742
2018-05-18,29.2235
2018-05-25,29.3757
2018-06-01,29.3757
2018-06-08,29.9169
2018-06-15,29.8915
2018-06-22,29.511
2018-06-29,29.1473
2018-07-06,29.5555
2018-07-13,29.8956
2018-07-20,29.9976
2018-07-27,30.4908
2018-08-03,30.8139
2018-08-10,30.6948
