date,price
2013-05-31,19.361
2013-06-07,19.5106
2013-06-14,19.3138
2013-06-21,18.9537
2013-06-28,19.053
2013-07-05,19.3919
2013-07-12,19.9041
2013-07-19,19.92
2013-07-26,19.9029
2013-08-02,20.2036
2013-08-09,20.0586
2013-08-16,19.7054
2013-08-23,19.8317
2013-08-30,19.4348
2013-09-06,19.6326
2013-09-13,20.1228
2013-09-20,20.3521
2013-09-27,20.1209
2013-10-04,20.0971
2013-10-11,20.2951
2013-10-18,20.6435
2013-10-25,20.9512
2013-11-01,21.0305
2013-11-08,21.197
2013-11-15,21.5221
2013-11-22,21.5443
2013-11-29,21.719
2013-12-06,21.6793
2013-12-13,21.3101
2013-12-20,21.7508
2013-12-27,22.0654
2014-01-03,21.9539
2014-01-10,22.0097
2014-01-17,21.8855
2014-01-24,21.2933
2014-01-31,21.1402
2014-02-07,21.2359
2014-02-14,21.746
2014-02-21,21.7301
2014-02-28,22.0396
2014-03-07,22.1674
2014-03-14,21.8151
2014-03-21,22.1353
2014-03-28,22.1419
2014-04-04,22.2938
2014-04-11,21.7822
2014-04-17,22.3817
2014-04-25,22.3637
2014-05-02,22.5638
2014-05-09,22.6358
2014-05-16,22.5558
2014-05-23,22.7364
2014-05-30,23.0249
2014-06-06,23.2253
2014-06-13,23.0489
2014-06-20,23.4176
2014-06-27,23.3262
2014-07-03,23.6198
2014-07-11,23.4482
2014-07-18,23.5815
2014-07-25,23.5895
2014-08-01,22.9495
2014-08-08,23.0685
2014-08-15,23.3499
2014-08-22,23.7277
2014-08-29,23.8646
2014-09-05,23.9011
2014-09-12,23.7518
2014-09-19,24.0579
2014-09-26,23.7115
2014-10-03,23.5901
2014-10-10,23.0032
2014-10-17,22.8441
2014-10-24,23.6627
2014-10-31,24.2789
2014-11-07,24.5132
2014-11-14,24.7152
2014-11-21,25.0695
2014-11-28,25.2339
2014-12-05,25.2875
2014-12-12,24.417
2014-12-19,25.3073
2014-12-26,25.5261
2015-01-02,25.1199
2015-01-09,25.128
2015-01-16,24.7954
2015-01-23,25.1037
2015-01-30,24.3615
2015-02-06,25.1002
2015-02-13,25.8065
2015-02-20,25.985
2015-02-27,25.9253
2015-03-06,25.4291
2015-03-13,25.2583
2015-03-20,25.8521
2015-03-27,25.3658
2015-04-02,25.431
2015-04-10,25.8304
2015-04-17,25.5859
2015-04-24,26.0669
2015-05-01,25.9609
2015-05-08,26.0995
2015-05-15,26.1892
2015-05-22,26.1888
2015-05-29,25.9436
2015-06-05,25.723
2015-06-12,25.7965
2015-06-19,26.0417
2015-06-26,25.8813
2015-07-02,25.5946
2015-07-10,25.5782
2015-07-17,25.914
2015-07-24,25.2484
2015-07-31,25.644
2015-08-07,25.2686
2015-08-14,25.4063
2015-08-21,24.0126
2015-08-28,24.2527
2015-09-04,23.5543
2015-09-11,24.0309
2015-09-18,24.0128
2015-09-25,23.6681
2015-10-02,23.9811
2015-10-09,24.945
2015-10-16,25.0109
2015-10-23,25.6341
2015-10-30,25.6777
2015-11-06,25.8509
2015-11-13,24.8449
2015-11-20,25.7519
2015-11-27,25.83
2015-12-04,25.7804
2015-12-11,24.8384
2015-12-18,24.6484
2015-12-24,25.3858
2015-12-31,25.1603
2016-01-08,23.7676
2016-01-15,23.3697
2016-01-22,23.6681
2016-01-29,24.0041
2016-02-05,23.4647
2016-02-12,23.3652
2016-02-19,24.1094
2016-02-26,24.5187
2016-03-04,25.1171
2016-03-11,25.4246
2016-03-18,25.8568
2016-03-24,25.6444
2016-04-01,26.2107
2016-04-08,25.9026
2016-04-15,26.2774
2016-04-22,26.2774
2016-04-29,25.9355
2016-05-06,25.8354
2016-05-13,25.7269
2016-05-20,25.6351
2016-05-27,26.237
2016-06-03,26.3248
2016-06-10,26.3289
2016-06-17,26.0866
2016-06-24,25.686
2016-07-01,26.5301
2016-07-08,26.9404
2016-07-15,27.3424
2016-07-22,27.4848
2016-07-29,27.4597
2016-08-05,27.4177
2016-08-12,27.5604
2016-08-19,27.5772
2016-08-26,27.3377
2016-09-02,27.3881
2016-09-09,26.6233
2016-09-16,26.8082
2016-09-23,27.1696
2016-09-30,27.2168
2016-10-07,27.0313
2016-10-14,26.711
2016-10-21,26.8627
2016-10-28,26.639
2016-11-04,26.2424
2016-11-11,27.4322
2016-11-18,27.5756
2016-11-25,27.9641
2016-12-02,27.719
2016-12-09,28.4627
2016-12-16,28.3529
2016-12-23,28.416
2016-12-30,28.2041
2017-01-06,28.5855
2017-01-13,28.5601
2017-01-20,28.6025
2017-01-27,28.857
2017-02-03,28.8994
2017-02-10,29.2387
2017-02-17,29.7689
2017-02-24,30.1
2017-03-03,30.2953
2017-03-10,30.3293
2017-03-17,30.4481
2017-03-24,30.083
2017-03-31,30.2065
2017-04-07,30.1384
2017-04-13,29.8404
2017-04-21,30.1725
2017-04-28,30.6366
2017-05-05,30.807
2017-05-12,30.6536
2017-05-19,30.5599
2017-05-26,31.0886
2017-06-02,31.5579
2017-06-09,31.3958
2017-06-16,31.5323
2017-06-23,31.6517
2017-06-30,31.4507
2017-07-07,31.4849
2017-07-14,31.8612
2017-07-21,31.9552
2017-07-28,31.7156
2017-08-04,31.844
2017-08-11,31.63
2017-08-18,31.3707
2017-08-25,31.5959
2017-09-01,32.0246
2017-09-08,32.0332
2017-09-15,32.5562
2017-09-22,32.5476
2017-09-29,32.8055
2017-10-06,33.1493
2017-10-13,33.3041
2017-10-20,33.7941
2017-10-27,33.8329
2017-11-03,33.9104
2017-11-10,33.9362
2017-11-17,34.0223
2017-11-24,34.345
2017-12-01,35.1416
2017-12-08,35.3482
2017-12-15,35.7013
2017-12-22,35.8649
2017-12-29,35.7892
2018-01-05,36.6531
2018-01-12,37.2059
2018-01-19,37.6551
2018-01-26,38.4544
2018-02-02,36.8298
2018-02-09,34.9719
2018-02-16,36.3891
2018-02-23,36.4499
2018-03-02,35.758
2018-03-09,36.8651
2018-03-16,36.2943
2018-03-23,34.1964
2018-03-29,35.0296
2018-04-06,34.613
2018-04-13,35.1945
2018-04-20,35.0903
2018-04-27,35.1166
2018-05-04,34.9082
2018-05-11,35.8113
2018-05-18,35.8287
2018-05-25,35.9937
2018-06-01,36.1588
2018-06-08,36.8629
2018-06-15,36.7933
2018-06-22,36.2284
2018-06-29,35.7457
2018-07-06,36.2077
2018-07-13,36.8789
2018-07-20,36.9312
2018-07-27,37.3107
2018-08-03,37.5989
2018-08-10,37.4766
2018-08-17,37.8958
2018-08-24,38.1099
2018-08-31,38.416
2018-09-07,38.3723
2018-09-14,38.8359
2018-09-21,39.1945
2018-09-28,38.9009
2018-10-05,38.6464
2018-10-12,37.023
2018-10-19,36.9352
2018-10-26,35.7459
2018-11-02,36.6589
2018-11-09,37.5016
2018-11-16,37.0188
2018-11-23,35.6446
2018-11-30,37.2888
2018-12-07,35.5802
2018-12-14,34.9204
2018-12-21,32.668
2018-12-28,33.5694
2019-01-04,34.0201
2019-01-11,34.833
2019-01-18,35.6371
2019-01-25,35.5006
2019-02-01,36.0934
2019-02-08,36.2881
2019-02-15,37.3411
2019-02-22,37.6779
2019-03-01,37.8109
2019-03-08,37.0573
2019-03-15,37.9793
2019-03-22,37.6867
2019-03-29,38.2503
2019-04-05,39.0497
2019-04-12,39.1386
2019-04-18,39.3606
2019-04-26,39.3069
2019-05-03,39.387
2019-05-10,38.4704
2019-05-17,38.1233
2019-05-24,37.6695
2019-05-31,36.4971
2019-06-07,38.3715
2019-06-14,38.5233
2019-06-21,39.2909
2019-06-28,39.0318
2019-07-05,39.6309
2019-07-12,40.0691
2019-07-19,39.7114
2019-07-26,40.472
2019-08-02,39.1826
2019-08-09,38.9319
2019-08-16,38.6275
2019-08-23,38.2335
2019-08-30,39.4274
2019-09-06,40.2539
2019-09-13,40.7749
2019-09-20,40.3976
2019-09-27,40.3799
2019-10-04,40.0201
2019-10-11,40.5058
2019-10-18,40.6767
2019-10-25,41.298
2019-11-01,41.8565
2019-11-08,42.4331
2019-11-15,42.7935
2019-11-22,42.5412
2019-11-29,42.9649
2019-12-06,42.983
2019-12-13,43.3713
2019-12-20,43.9131
2019-12-27,43.9983
2020-01-03,43.8137
2020-01-10,44.0672
2020-01-17,44.9362
2020-01-24,44.4471
2020-01-31,43.2331
2020-02-07,44.4018
2020-02-14,44.9
2020-02-21,44.4018
2020-02-28,39.5371
2020-03-06,40.3631
2020-03-13,36.8414
