date,price
2003-11-14,23.5486
2003-11-21,23.2415
2003-11-28,23.8743
2003-12-05,24.0651
2003-12-12,24.4968
2003-12-19,24.6138
2003-12-26,24.9085
2004-01-02,25.1658
2004-01-09,25.1705
2004-01-16,25.4559
2004-01-23,25.6758
2004-01-30,25.6056
2004-02-06,25.7553
2004-02-13,26.008
2004-02-20,26.0875
2004-02-27,26.4711
2004-03-05,26.8267
2004-03-12,26.0173
2004-03-19,25.7834
2004-03-26,25.5089
2004-04-02,26.2309
2004-04-08,26.0469
2004-04-16,25.693
2004-04-23,25.8676
2004-04-30,25.3627
2004-05-07,25.056
2004-05-14,25.0276
2004-05-21,25.1267
2004-05-28,25.8628
2004-06-04,25.8015
2004-06-10,26.0138
2004-06-18,25.995
2004-06-25,26.1735
2004-07-02,26.2687
2004-07-09,26.0355
2004-07-16,26.1354
2004-07-23,25.7974
2004-07-30,26.2211
2004-08-06,25.726
2004-08-13,25.9212
2004-08-20,26.6972
2004-08-27,26.9923
2004-09-03,27.278
2004-09-10,27.3541
2004-09-17,27.5541
2004-09-24,27.1461
2004-10-01,27.818
2004-10-08,27.8084
2004-10-15,27.6836
2004-10-22,27.2517
2004-10-29,27.9908
2004-11-05,28.8979
2004-11-12,29.5363
2004-11-19,29.0179
2004-11-26,29.4499
2004-12-03,29.2963
2004-12-10,28.8355
2004-12-17,29.2531
2004-12-23,29.7
2004-12-31,29.7049
2005-01-07,28.8679
2005-01-14,28.7324
2005-01-21,28.5921
2005-01-28,28.5196
2005-02-04,29.4146
2005-02-11,29.463
2005-02-18,29.3759
2005-02-25,29.6516
2005-03-04,30.0338
2005-03-11,29.7145
2005-03-18,29.342
2005-03-24,28.8873
2005-04-01,29.1262
2005-04-08,29.2188
2005-04-15,28.3314
2005-04-22,28.8629
2005-04-29,29.0335
2005-05-06,29.4723
2005-05-13,28.9604
2005-05-20,29.8575
2005-05-27,29.9745
2005-06-03,30.0574
2005-06-10,30.1256
2005-06-17,30.7156
2005-06-24,30.1621
2005-07-01,30.5501
2005-07-08,30.835
2005-07-15,31.1444
2005-07-22,31.4833
2005-07-29,31.4194
2005-08-05,31.0707
2005-08-12,31.0658
2005-08-19,30.8448
2005-08-26,30.5255
2005-09-02,31.0118
2005-09-09,31.4244
2005-09-16,31.3359
2005-09-23,30.6211
2005-09-30,30.8191
2005-10-07,30.0471
2005-10-14,29.5424
2005-10-21,29.4582
2005-10-28,30.1164
2005-11-04,30.3143
2005-11-11,30.6063
2005-11-18,30.7003
2005-11-25,31.1407
2005-12-02,31.0665
2005-12-09,30.8191
2005-12-16,31.1605
2005-12-23,31.0189
2005-12-30,30.5403
2006-01-06,31.3579
2006-01-13,31.323
2006-01-20,30.9291
2006-01-27,31.3379
2006-02-03,30.7297
2006-02-10,30.8893
2006-02-17,31.5423
2006-02-24,31.6919
2006-03-03,31.3529
2006-03-10,31.2781
2006-03-17,31.9212
2006-03-24,31.9102
2006-03-31,31.538
2006-04-07,31.4474
2006-04-13,31.2362
2006-04-21,31.7191
2006-04-28,32.1919
2006-05-05,32.5037
2006-05-12,31.8146
2006-05-19,31.4173
2006-05-26,31.875
2006-06-02,32.2673
2006-06-09,31.9323
2006-06-16,31.5581
2006-06-23,31.2979
2006-06-30,32.0085
2006-07-07,32.1049
2006-07-14,31.6735
2006-07-21,32.2217
2006-07-28,33.1607
2006-08-04,33.3434
2006-08-11,32.8866
2006-08-18,33.4906
2006-08-25,33.2419
2006-09-01,33.6125
2006-09-08,33.3637
2006-09-15,33.8053
2006-09-22,33.7495
2006-09-29,34.0062
2006-10-06,34.2468
2006-10-13,34.7484
2006-10-20,34.9532
2006-10-27,35.1682
2006-11-03,35.0249
2006-11-10,35.4907
2006-11-17,35.8849
2006-11-24,35.6289
2006-12-01,35.7466
2006-12-08,35.9207
2006-12-15,36.407
2006-12-22,36.2857
2006-12-29,36.4766
2007-01-05,36.2032
2007-01-12,36.4405
2007-01-19,36.4147
2007-01-26,36.4095
2007-02-02,37.1573
2007-02-09,37.1728
2007-02-16,37.5802
2007-02-23,37.4667
2007-03-02,36.5694
2007-03-09,36.5024
2007-03-16,36.1465
2007-03-23,37.4098
2007-03-30,37.1343
2007-04-05,37.576
2007-04-13,37.6696
2007-04-20,38.5168
2007-04-27,38.5376
2007-05-04,38.8016
2007-05-11,38.8962
2007-05-18,39.1976
2007-05-25,38.7039
2007-06-01,39.1041
2007-06-08,37.9399
2007-06-15,38.5526
2007-06-22,37.5085
2007-06-29,37.6649
2007-07-06,38.1679
2007-07-13,38.4299
2007-07-20,37.6283
2007-07-27,35.3125
2007-08-03,34.8305
2007-08-10,35.8155
2007-08-17,36.3185
2007-08-24,36.7848
2007-08-31,36.198
2007-09-07,35.7002
2007-09-14,36.1508
2007-09-21,37.0205
2007-09-28,36.6217
2007-10-05,37.7632
2007-10-12,37.4936
2007-10-19,35.4538
2007-10-26,36.8595
2007-11-02,35.3904
2007-11-09,34.8831
2007-11-16,34.751
2007-11-23,34.4392
2007-11-30,35.6229
2007-12-07,36.1989
2007-12-14,34.7351
2007-12-21,35.5965
2007-12-28,34.6206
2008-01-04,32.8866
2008-01-11,33.1
2008-01-18,31.0886
2008-01-25,32.4555
2008-02-01,35.1008
2008-02-08,33.1374
2008-02-15,33.1214
2008-02-22,32.8813
2008-02-29,31.5795
2008-03-07,30.5732
2008-03-14,30.7205
2008-03-20,32.2491
2008-03-28,31.1135
2008-04-04,32.3382
2008-04-11,31.3832
2008-04-18,32.4622
2008-04-25,32.4191
2008-05-02,32.991
2008-05-09,31.9335
2008-05-16,32.4784
2008-05-23,31.4102
2008-05-30,31.4264
2008-06-06,30.1969
2008-06-13,29.3547
2008-06-20,28.2271
2008-06-27,27.1415
2008-07-03,26.3333
2008-07-11,26.0056
2008-07-18,27.3927
2008-07-25,27.3272
2008-08-01,28.1628
2008-08-08,29.0475
2008-08-15,29.1785
2008-08-22,28.6816
2008-08-29,29.0748
2008-09-05,29.5171
2008-09-12,30.5329
2008-09-19,33.3126
2008-09-26,31.3366
2008-10-03,29.1468
2008-10-10,23.5314
2008-10-17,24.9601
2008-10-24,23.1425
2008-10-31,26.0026
2008-11-07,24.7063
2008-11-14,23.2777
2008-11-21,20.7072
2008-11-28,23.6859
2008-12-05,23.0515
2008-12-12,22.533
2008-12-19,22.5441
2008-12-26,22.254
2009-01-02,23.5128
2009-01-09,22.103
2009-01-16,20.8865
2009-01-23,19.9212
2009-01-30,19.4793
2009-02-06,20.0723
2009-02-13,18.7856
2009-02-20,17.0546
2009-02-27,16.5814
2009-03-06,14.8864
2009-03-13,16.4472
2009-03-20,17.2024
2009-03-27,18.1916
2009-04-03,18.9458
2009-04-09,19.2237
2009-04-17,19.5752
2009-04-24,19.5356
2009-05-01,19.8985
2009-05-08,21.0099
2009-05-15,19.683
2009-05-22,19.683
2009-05-29,20.3068
2009-06-05,20.8455
2009-06-12,21.0043
2009-06-19,20.2387
2009-06-26,20.265
2009-07-02,19.9839
2009-07-10,19.5537
2009-07-17,20.8385
2009-07-24,22.0546
2009-07-31,22.2438
2009-08-07,22.8002
2009-08-14,22.7314
2009-08-21,23.2476
2009-08-28,23.2132
2009-09-04,22.7429
2009-09-11,23.3394
2009-09-18,24.2285
2009-09-25,23.6416
2009-10-02,23.2305
2009-10-09,24.2264
2009-10-16,24.6317
2009-10-23,24.4754
2009-10-30,23.5663
2009-11-06,24.1859
2009-11-13,24.7186
2009-11-20,24.707
2009-11-27,24.7649
2009-12-04,25.425
2009-12-11,25.6624
2009-12-18,25.5119
2009-12-24,25.9769
2009-12-31,25.6729
2010-01-08,25.995
2010-01-15,26.0646
2010-01-22,25.3045
