date,price
2006-03-24,9.6412
2006-03-31,9.5097
2006-04-07,9.4909
2006-04-13,9.397
2006-04-21,9.5332
2006-04-28,9.8149
2006-05-05,9.8807
2006-05-12,9.6412
2006-05-19,9.5143
2006-05-26,9.6881
2006-06-02,9.8102
2006-06-09,9.7257
2006-06-16,9.6739
2006-06-23,9.613
2006-06-30,9.8264
2006-07-07,9.8833
2006-07-14,9.6936
2006-07-21,9.9165
2006-07-28,10.2722
2006-08-04,10.3244
2006-08-11,10.1868
2006-08-18,10.386
2006-08-25,10.424
2006-09-01,10.5141
2006-09-08,10.4761
2006-09-15,10.6184
2006-09-22,10.6753
2006-09-29,10.6892
2006-10-06,10.7514
2006-10-13,10.8567
2006-10-20,10.9141
2006-10-27,10.9763
2006-11-03,10.8376
2006-11-10,10.8567
2006-11-17,11.029
2006-11-24,10.9524
2006-12-01,10.9764
2006-12-08,11.005
2006-12-15,11.2634
2006-12-22,11.2823
2006-12-29,11.3595
2007-01-05,11.292
2007-01-12,11.3547
2007-01-19,11.3981
2007-01-26,11.3933
2007-02-02,11.5526
2007-02-09,11.4946
2007-02-16,11.6298
2007-02-23,11.5081
2007-03-02,11.1617
2007-03-09,11.2534
2007-03-16,11.152
2007-03-23,11.596
2007-03-30,11.4695
2007-04-05,11.5911
2007-04-13,11.6154
2007-04-20,11.8295
2007-04-27,11.8101
2007-05-04,11.9602
2007-05-11,11.9512
2007-05-18,12.1614
2007-05-25,12.0583
2007-06-01,12.0729
2007-06-08,11.7405
2007-06-15,11.8977
2007-06-22,11.5852
2007-06-29,11.6391
2007-07-06,11.7471
2007-07-13,11.8207
2007-07-20,11.5017
2007-07-27,11.0994
2007-08-03,10.8001
2007-08-10,11.1239
2007-08-17,11.2859
2007-08-24,11.5165
2007-08-31,11.3398
2007-09-07,11.0798
2007-09-14,11.2319
2007-09-21,11.5459
2007-09-28,11.4072
2007-10-05,11.7688
2007-10-12,11.645
2007-10-19,10.9466
2007-10-26,11.1447
2007-11-02,10.6692
2007-11-09,10.3621
2007-11-16,10.3869
2007-11-23,10.2482
2007-11-30,10.6444
2007-12-07,10.7782
2007-12-14,10.2779
2007-12-21,10.3339
2007-12-28,10.1583
2008-01-04,9.7319
2008-01-11,9.8974
2008-01-18,9.1349
2008-01-25,9.6065
2008-02-01,10.4994
2008-02-08,9.757
2008-02-15,9.752
2008-02-22,9.6015
2008-02-29,9.3005
2008-03-07,8.859
2008-03-14,8.7637
2008-03-20,9.3757
2008-03-28,9.0276
2008-04-04,9.3237
2008-04-11,9.0378
2008-04-18,9.3035
2008-04-25,9.3827
2008-05-02,9.6109
2008-05-09,9.1291
2008-05-16,9.2305
2008-05-23,8.8451
2008-05-30,8.911
2008-06-06,8.3683
