date,price
2011-04-08,31.1303
2011-04-15,31.2948
2011-04-21,31.4289
2011-04-29,32.3065
2011-05-06,32.0566
2011-05-13,32.4467
2011-05-20,32.4893
2011-05-27,32.2882
2011-06-03,31.7519
2011-06-10,31.3497
2011-06-17,31.5934
2011-06-24,31.3083
2011-07-01,32.3554
2011-07-08,32.4412
2011-07-15,31.9941
2011-07-22,32.2575
2011-07-29,31.2104
2011-08-05,30.1816
2011-08-12,29.8694
2011-08-19,29.7898
2011-08-26,30.5674
2011-09-02,30.5674
2011-09-09,30.2062
2011-09-16,31.4063
2011-09-23,30.298
2011-09-30,30.7634
2011-10-07,31.0899
2011-10-14,32.0322
2011-10-21,32.4818
2011-10-28,32.919
2011-11-04,32.4202
2011-11-11,33.0053
2011-11-18,32.3401
2011-11-25,31.2605
2011-12-02,33.0176
2011-12-09,33.3071
2011-12-16,33.1654
2011-12-23,34.4293
2011-12-30,34.4178
2012-01-06,34.1139
2012-01-13,34.1573
2012-01-20,34.393
2012-01-27,33.9155
2012-02-03,34.1573
2012-02-10,34.2442
2012-02-17,34.6659
2012-02-24,34.8023
2012-03-02,34.9821
2012-03-09,35.1682
2012-03-16,35.4782
2012-03-23,35.4844
2012-03-30,35.7668
2012-04-05,35.7417
2012-04-13,35.1409
2012-04-20,35.6785
2012-04-27,36.2105
2012-05-04,36.0296
2012-05-11,36.0672
2012-05-18,35.5728
2012-05-25,35.6854
2012-06-01,35.2411
2012-06-08,36.2362
2012-06-15,37.0497
2012-06-22,36.8336
2012-06-29,37.4841
2012-07-06,37.4336
2012-07-13,37.9539
2012-07-20,38.1536
2012-07-27,38.7409
2012-08-03,38.7662
2012-08-10,38.7473
2012-08-17,38.5451
2012-08-24,38.1851
2012-08-31,38.0651
2012-09-07,38.463
2012-09-14,38.4946
2012-09-21,38.9873
2012-09-28,38.8071
2012-10-05,39.3867
2012-10-12,38.4568
2012-10-19,38.9472
2012-10-26,38.5141
2012-11-02,38.3676
2012-11-09,37.2479
2012-11-16,36.839
2012-11-23,37.7817
2012-11-30,38.1893
2012-12-07,38.3485
2012-12-14,38.1957
2012-12-21,38.1181
2012-12-28,37.3151
2013-01-04,38.7476
2013-01-11,38.9853
2013-01-18,39.1459
2013-01-25,39.6855
2013-02-01,40.1801
2013-02-08,40.1159
2013-02-15,40.1673
2013-02-22,40.5976
2013-03-01,40.7518
2013-03-08,41.3299
2013-03-15,41.5098
2013-03-22,41.8117
2013-03-28,42.3371
2013-04-05,42.486
2013-04-12,43.5743
2013-04-19,43.6002
2013-04-26,44.1357
2013-05-03,44.3451
2013-05-10,44.1832
2013-05-17,44.9993
2013-05-24,44.52
2013-05-31,43.4253
2013-06-07,43.9966
2013-06-14,44.0666
2013-06-21,42.9395
2013-06-28,43.3298
2013-07-05,43.689
2013-07-12,44.8843
2013-07-19,44.7732
2013-07-26,44.9038
2013-08-02,45.1978
2013-08-09,44.7732
2013-08-16,43.5453
2013-08-23,43.8588
2013-08-30,43.1534
2013-09-06,43.0816
2013-09-13,44.1462
2013-09-20,44.6491
2013-09-27,43.9252
2013-10-04,43.5893
2013-10-11,44.1096
2013-10-18,45.0579
2013-10-25,45.6637
2013-11-01,46.0457
2013-11-08,46.1906
2013-11-15,46.7701
2013-11-22,46.724
2013-11-29,46.3552
2013-12-06,46.2959
2013-12-13,45.3015
2013-12-20,46.072
2013-12-27,46.589
2014-01-03,46.1507
2014-01-10,46.1175
2014-01-17,46.0976
2014-01-24,45.3406
2014-01-31,44.8691
2014-02-07,44.9953
2014-02-14,46.091
2014-02-21,45.8718
2014-02-28,46.3367
2014-03-07,46.5425
2014-03-14,46.4163
2014-03-21,46.7816
2014-03-28,47.4723
2014-04-04,47.8471
2014-04-11,47.5526
2014-04-17,48.6906
2014-04-25,48.6839
2014-05-02,49.0721
2014-05-09,49.119
2014-05-16,49.0989
2014-05-23,49.0922
2014-05-30,49.6745
2014-06-06,49.8017
2014-06-13,49.9958
2014-06-20,51.194
2014-06-27,50.8887
2014-07-03,51.1451
2014-07-11,50.9967
2014-07-18,51.1721
2014-07-25,50.909
2014-08-01,49.7216
2014-08-08,49.7891
2014-08-15,50.3693
2014-08-22,50.909
2014-08-29,51.4284
2014-09-05,51.6308
2014-09-12,50.8483
2014-09-19,51.8332
2014-09-26,51.2068
2014-10-03,51.098
2014-10-10,50.2885
2014-10-17,49.3975
2014-10-24,50.9211
2014-10-31,52.1251
2014-11-07,52.6149
2014-11-14,52.5673
2014-11-21,53.023
2014-11-28,53.1387
2014-12-05,53.1251
2014-12-12,51.2544
2014-12-19,52.921
2014-12-26,53.4699
2015-01-02,52.5781
2015-01-09,52.6193
2015-01-16,52.7496
2015-01-23,53.0583
2015-01-30,51.5079
2015-02-06,52.9348
2015-02-13,53.6415
2015-02-20,53.271
2015-02-27,53.2641
2015-03-06,51.7754
2015-03-13,51.1511
2015-03-20,52.3654
2015-03-27,51.7517
2015-04-02,52.1881
2015-04-10,53.4763
2015-04-17,53.3925
2015-04-24,53.8642
2015-05-01,53.6633
2015-05-08,53.5594
2015-05-15,53.6495
2015-05-22,53.4556
2015-05-29,53.0469
2015-06-05,52.0357
2015-06-12,52.2158
2015-06-19,52.6244
2015-06-26,52.3636
2015-07-02,51.8461
2015-07-10,52.0909
2015-07-17,52.7272
2015-07-24,51.4615
2015-07-31,52.1958
2015-08-07,51.6154
2015-08-14,52.2587
2015-08-21,49.9161
2015-08-28,49.9231
2015-09-04,48.2377
2015-09-11,48.8951
2015-09-18,49.1328
2015-09-25,49.0155
2015-10-02,49.7433
2015-10-09,51.7429
2015-10-16,52.718
2015-10-23,53.4952
2015-10-30,53.149
2015-11-06,52.7533
2015-11-13,51.0222
2015-11-20,52.3717
2015-11-27,52.619
2015-12-04,52.612
2015-12-11,51.0504
2015-12-18,51.545
2015-12-24,52.9198
2015-12-31,52.3705
2016-01-08,50.2945
2016-01-15,50.159
2016-01-22,50.7083
2016-01-29,52.4276
2016-02-05,51.8283
2016-02-12,52.1921
2016-02-19,53.2123
2016-02-26,53.3336
2016-03-04,54.3537
2016-03-11,55.3668
2016-03-18,56.1016
2016-03-24,55.8072
2016-04-01,56.3901
2016-04-08,56.3829
2016-04-15,56.7571
2016-04-22,56.9514
2016-04-29,56.7427
2016-05-06,56.9226
2016-05-13,56.829
2016-05-20,56.6779
2016-05-27,57.7574
2016-06-03,57.9517
2016-06-10,58.4626
2016-06-17,58.1172
2016-06-24,57.6193
2016-07-01,59.673
2016-07-08,60.239
2016-07-15,60.8413
2016-07-22,60.8849
2016-07-29,60.0503
2016-08-05,59.7891
2016-08-12,59.927
2016-08-19,59.6947
2016-08-26,59.3464
2016-09-02,59.7818
2016-09-09,58.6207
2016-09-16,58.6643
2016-09-23,59.39
2016-09-30,59.4875
2016-10-07,58.7775
2016-10-14,58.4116
2016-10-21,57.7822
2016-10-28,57.8846
2016-11-04,56.9844
2016-11-11,57.892
2016-11-18,58.1042
2016-11-25,59.1947
2016-12-02,58.5287
2016-12-09,60.0876
2016-12-16,60.8927
2016-12-23,61.0371
2016-12-30,60.6756
2017-01-06,60.8969
2017-01-13,60.3289
2017-01-20,60.7051
2017-01-27,60.4986
2017-02-03,60.5502
2017-02-10,60.8969
2017-02-17,61.701
2017-02-24,62.5641
2017-03-03,62.7707
2017-03-10,62.719
2017-03-17,62.9256
2017-03-24,62.3597
2017-03-31,62.3969
2017-04-07,62.3894
