date,price
1999-11-12,27.0303
1999-11-19,27.3949
1999-11-26,26.8741
1999-12-03,25.3247
1999-12-10,24.5773
1999-12-17,24.7075
1999-12-23,24.8846
1999-12-31,24.283
2000-01-07,25.1294
2000-01-14,24.3976
2000-01-21,23.4055
2000-01-28,22.0045
2000-02-04,21.3873
2000-02-11,20.2389
2000-02-18,20.2389
2000-02-25,18.8172
2000-03-03,19.2092
2000-03-10,18.5244
2000-03-17,20.793
2000-03-24,18.8825
2000-03-31,18.3598
2000-04-07,19.3555
2000-04-14,19.1595
2000-04-20,21.3339
2000-04-28,21.5613
2000-05-05,21.9533
2000-05-12,22.3454
2000-05-19,23.2784
2000-05-26,23.1158
2000-06-02,22.0325
2000-06-09,22.5912
2000-06-16,23.4908
2000-06-23,23.5407
2000-06-30,26.7275
2000-07-07,26.1636
2000-07-14,24.081
2000-07-21,24.1964
2000-07-28,24.5662
2000-08-04,25.3269
2000-08-11,25.6626
2000-08-18,25.3741
2000-08-25,25.1162
2000-09-01,24.3767
2000-09-08,24.8583
2000-09-15,25.0004
2000-09-22,25.232
2000-09-29,24.7215
2000-10-06,24.2925
2000-10-13,25.2136
2000-10-20,24.1793
2000-10-27,24.4083
2000-11-03,24.1293
2000-11-10,24.853
2000-11-17,25.0662
2000-11-24,25.0478
2000-12-01,25.7566
2000-12-08,25.3956
2000-12-15,25.97
2000-12-22,26.7447
2000-12-29,27.6932
2001-01-05,25.7908
2001-01-12,24.916
2001-01-19,24.8027
2001-01-26,24.2256
2001-02-02,25.0583
2001-02-09,25.0267
2001-02-16,24.9927
2001-02-23,25.2465
2001-03-02,26.2142
2001-03-09,25.5664
2001-03-16,24.3212
2001-03-23,23.3218
2001-03-30,23.1261
2001-04-06,23.8981
2001-04-12,24.0462
2001-04-20,24.3529
2001-04-27,25.2174
2001-05-04,25.8467
2001-05-11,25.7145
2001-05-18,26.7985
2001-05-25,25.8035
2001-06-01,26.0025
2001-06-08,27.0638
2001-06-15,27.6157
2001-06-22,27.8014
2001-06-29,26.5119
2001-07-06,26.7507
2001-07-13,28.1517
2001-07-20,28.9158
2001-07-27,28.1305
2001-08-03,28.4329
2001-08-10,29.1971
2001-08-17,28.6187
2001-08-24,29.0712
2001-08-31,28.0649
2001-09-07,29.6729
2001-09-10,29.6143
2001-09-21,27.8147
2001-09-28,29.4972
2001-10-05,29.5451
2001-10-12,29.4706
2001-10-19,31.1052
2001-10-26,31.2383
2001-11-02,31.4033
2001-11-09,31.7121
2001-11-16,31.9997
2001-11-23,32.5604
2001-11-30,31.1078
2001-12-07,30.2534
2001-12-14,30.0664
2001-12-21,31.8875
2001-12-28,31.9676
2002-01-04,31.0491
2002-01-11,31.0971
2002-01-18,31.8822
2002-01-25,30.7874
2002-02-01,30.7607
2002-02-08,30.3762
2002-02-15,30.6645
2002-02-22,31.8216
2002-03-01,33.268
2002-03-08,34.1038
2002-03-15,34.6073
2002-03-22,34.7413
2002-03-28,34.7948
2002-04-05,33.777
2002-04-12,33.5734
2002-04-19,34.5484
2002-04-26,34.077
2002-05-03,33.9806
2002-05-10,33.1341
