date,price
1999-11-12,14.2761
1999-11-19,15.0209
1999-11-26,16.5255
1999-12-03,17.0005
1999-12-10,15.7412
1999-12-17,14.8701
1999-12-23,14.7457
1999-12-31,14.4968
2000-01-07,15.119
2000-01-14,15.1961
2000-01-21,16.6446
2000-01-28,14.1708
2000-02-04,13.9991
2000-02-11,13.8273
2000-02-18,12.7871
2000-02-25,12.1176
2000-03-03,12.476
2000-03-10,11.3237
2000-03-17,12.2746
2000-03-24,11.7424
2000-03-31,11.7275
2000-04-07,11.5401
2000-04-14,11.7424
2000-04-20,12.3521
2000-04-28,11.8049
2000-05-05,11.7574
2000-05-12,13.0541
2000-05-19,12.507
2000-05-26,13.6312
2000-06-02,13.1315
2000-06-09,13.0691
2000-06-16,13.9102
2000-06-23,14.5067
2000-06-30,14.3965
2000-07-07,14.7248
2000-07-14,14.4441
2000-07-21,15.2536
2000-07-28,15.7123
2000-08-04,15.5719
2000-08-11,15.602
2000-08-18,15.1158
2000-08-25,14.0356
2000-09-01,13.5969
2000-09-08,13.6746
2000-09-15,12.776
2000-09-22,13.2965
2000-09-29,13.8622
2000-10-06,14.6945
2000-10-13,14.3802
2000-10-20,13.7818
2000-10-27,14.8203
2000-11-03,14.9133
2000-11-10,15.5595
2000-11-17,15.4489
2000-11-24,14.8353
2000-12-01,15.6802
2000-12-08,15.3499
2000-12-15,13.4892
2000-12-22,14.8457
2000-12-29,15.3651
2001-01-05,14.5456
2001-01-12,14.2784
2001-01-19,14.0716
2001-01-26,14.6087
2001-02-02,14.5582
2001-02-09,15.1634
2001-02-16,14.9667
2001-02-23,13.111
2001-03-02,13.2497
2001-03-09,12.9849
2001-03-16,12.3116
2001-03-23,11.5145
2001-03-30,11.4284
2001-04-06,11.3879
2001-04-12,11.2791
2001-04-20,11.8941
2001-04-27,11.8941
2001-05-04,11.8511
2001-05-11,11.4613
2001-05-18,12.1724
2001-05-25,12.1902
2001-06-01,12.0991
2001-06-08,11.641
2001-06-15,11.2446
2001-06-22,10.8864
2001-06-29,11.4327
2001-07-06,11.331
2001-07-13,11.6893
2001-07-20,11.7147
2001-07-27,11.3793
2001-08-03,11.3564
2001-08-10,11.6029
2001-08-17,12.078
2001-08-24,12.5022
2001-08-31,12.365
2001-09-07,12.6344
2001-09-10,12.6902
2001-09-21,11.9326
2001-09-28,11.9453
2001-10-05,11.6011
2001-10-12,11.4227
2001-10-19,12.389
2001-10-26,12.5292
2001-11-02,12.4629
2001-11-09,12.5496
2001-11-16,12.7306
2001-11-23,12.5318
2001-11-30,12.0195
2001-12-07,11.9273
2001-12-14,11.8378
2001-12-21,12.4853
2001-12-28,12.0732
2002-01-04,11.8838
2002-01-11,11.5946
2002-01-18,11.6304
2002-01-25,11.5562
2002-02-01,11.4359
2002-02-08,11.7354
2002-02-15,12.0169
2002-02-22,12.1065
2002-03-01,12.3906
2002-03-08,12.2473
2002-03-15,12.5014
2002-03-22,13.1722
2002-03-28,13.4318
2002-04-05,13.4113
2002-04-12,13.7145
2002-04-19,14.1129
2002-04-26,13.9947
2002-05-03,14.6141
2002-05-10,14.4856
2002-05-17,14.6501
2002-05-24,14.4445
2002-05-31,14.28
2002-06-07,13.8919
2002-06-14,14.1493
2002-06-21,14.4459
2002-06-28,14.4459
2002-07-05,14.5672
2002-07-12,13.169
2002-07-19,11.6315
2002-07-26,12.2403
2002-08-02,12.9239
2002-08-09,13.1819
2002-08-16,13.4631
2002-08-23,13.5946
2002-08-30,13.1561
2002-09-06,12.8698
2002-09-13,12.858
2002-09-20,12.3064
2002-09-27,12.5576
2002-10-04,13.1817
2002-10-11,13.3241
2002-10-18,12.0137
2002-10-25,12.1639
2002-11-01,12.1277
2002-11-08,11.5294
2002-11-15,11.905
2002-11-22,11.7599
2002-11-29,11.8723
2002-12-06,11.8098
2002-12-13,11.9269
2002-12-20,11.4665
2002-12-27,11.3078
2003-01-03,11.6381
2003-01-10,11.7578
2003-01-17,11.7318
2003-01-24,11.1413
2003-01-31,10.5248
2003-02-07,10.2829
2003-02-14,10.6132
2003-02-21,10.5716
2003-02-28,10.4624
2003-03-07,9.8068
2003-03-14,10.4391
2003-03-21,11.054
2003-03-28,10.6563
2003-04-04,10.9624
2003-04-11,10.8394
2003-04-17,10.57
2003-04-25,10.3136
2003-05-02,10.7269
2003-05-09,11.5092
2003-05-16,11.4987
2003-05-23,11.5615
2003-05-30,11.9226
2003-06-06,12.2679
2003-06-13,12.4465
2003-06-20,12.2152
2003-06-27,12.2257
2003-07-03,12.1521
2003-07-11,11.5423
2003-07-18,11.8025
2003-07-25,11.8393
2003-08-01,11.7631
2003-08-08,11.7894
2003-08-15,11.8314
2003-08-22,11.3767
2003-08-29,11.4398
2003-09-05,11.6054
2003-09-12,11.6205
2003-09-19,11.4065
2003-09-26,11.3669
2003-10-03,11.6337
2003-10-10,11.5782
2003-10-17,11.9005
2003-10-24,11.993
2003-10-31,12.2571
2003-11-07,12.3179
2003-11-14,12.3337
2003-11-21,12.2624
2003-11-28,12.3414
2003-12-05,12.4449
2003-12-12,13.1032
2003-12-19,13.2969
2003-12-26,13.2597
2004-01-02,13.3633
2004-01-09,13.1615
2004-01-16,13.2385
2004-01-23,13.281
2004-01-30,13.0687
2004-02-06,13.5331
2004-02-13,13.5729
2004-02-20,13.5198
2004-02-27,13.2597
2004-03-05,13.2969
2004-03-12,12.9257
2004-03-19,13.0137
2004-03-26,13.0137
2004-04-02,13.5873
2004-04-08,13.67
2004-04-16,13.8541
2004-04-23,13.6193
2004-04-30,13.4913
2004-05-07,13.5366
2004-05-14,13.3392
2004-05-21,13.1738
2004-05-28,13.6994
2004-06-04,13.9448
2004-06-10,13.7741
2004-06-18,13.7768
2004-06-25,13.4309
2004-07-02,13.5462
2004-07-09,13.6776
2004-07-16,13.5596
2004-07-23,12.1093
2004-07-30,11.7581
2004-08-06,11.6616
2004-08-13,11.8948
2004-08-20,11.8519
2004-08-27,11.9886
2004-09-03,12.1951
2004-09-10,11.5168
2004-09-17,10.8668
2004-09-24,10.7832
2004-10-01,10.8695
2004-10-08,10.7859
2004-10-15,10.5702
2004-10-22,10.4893
2004-10-29,10.9639
2004-11-05,11.1634
2004-11-12,10.999
2004-11-19,10.7131
2004-11-26,10.7482
2004-12-03,11.0465
2004-12-10,10.9977
2004-12-17,11.1116
2004-12-23,11.2636
2004-12-31,11.2988
2005-01-07,11.1686
2005-01-14,11.117
2005-01-21,11.1008
2005-01-28,11.2581
