date,price
1999-11-12,25.7145
1999-11-19,25.183
1999-11-26,23.6841
1999-12-03,24.4118
1999-12-10,23.0124
1999-12-17,21.9483
1999-12-23,21.5492
1999-12-31,21.4481
2000-01-07,21.2193
2000-01-14,22.6719
2000-01-21,21.8472
2000-01-28,19.5539
2000-02-04,18.6866
2000-02-11,18.5909
2000-02-18,17.2926
2000-02-25,16.4945
2000-03-03,17.1915
2000-03-10,16.8935
2000-03-17,17.9896
2000-03-24,18.5217
2000-03-31,19.8891
2000-04-07,19.687
2000-04-14,17.8566
2000-04-20,19.0538
2000-04-28,20.251
2000-05-05,18.9899
2000-05-12,19.9849
2000-05-19,20.1179
2000-05-26,20.086
2000-06-02,19.224
2000-06-09,18.0269
2000-06-16,16.6594
2000-06-23,17.3618
2000-06-30,17.5267
2000-07-07,17.2926
2000-07-14,16.6967
2000-07-21,16.4306
2000-07-28,17.0266
2000-08-04,17.7608
2000-08-11,17.7927
2000-08-18,16.7924
2000-08-25,16.1646
2000-09-01,15.7283
2000-09-08,15.2973
2000-09-15,15.1551
2000-09-22,15.5285
2000-09-29,16.3404
2000-10-06,16.1726
2000-10-13,15.6314
2000-10-20,15.2904
2000-10-27,16.1023
2000-11-03,17.5258
2000-11-10,17.8938
2000-11-17,18.2172
2000-11-24,18.3534
2000-12-01,16.8553
2000-12-08,16.0708
2000-12-15,17.1603
2000-12-22,17.8086
2000-12-29,18.5223
2001-01-05,17.9448
2001-01-12,18.3207
2001-01-19,17.874
2001-01-26,15.7984
2001-02-02,16.0327
2001-02-09,16.2124
2001-02-16,16.463
2001-02-23,16.4086
2001-03-02,15.7167
2001-03-09,15.7712
2001-03-16,14.4365
2001-03-23,13.6193
2001-03-30,14.4637
2001-04-06,14.3003
2001-04-12,14.6489
2001-04-20,14.7579
2001-04-27,14.7688
2001-05-04,14.6108
2001-05-11,15.112
2001-05-18,16.2342
2001-05-25,16.621
2001-06-01,16.1852
2001-06-08,16.0436
2001-06-15,15.6186
2001-06-22,15.319
2001-06-29,14.7415
2001-07-06,14.4637
2001-07-13,15.063
2001-07-20,14.9921
2001-07-27,15.6023
2001-08-03,15.8039
2001-08-10,15.3027
2001-08-17,16.3432
2001-08-24,16.6101
2001-08-31,16.3595
2001-09-07,16.3214
2001-09-10,15.7548
2001-09-21,14.7524
2001-09-28,14.7851
2001-10-05,15.7385
2001-10-12,16.0653
2001-10-19,15.5696
2001-10-26,15.7712
2001-11-02,14.5945
2001-11-09,14.4801
2001-11-16,15.3841
2001-11-23,15.115
2001-11-30,14.7415
2001-12-07,14.7745
2001-12-14,14.7195
2001-12-21,14.2252
2001-12-28,14.6097
2002-01-04,14.8239
2002-01-11,14.4669
2002-01-18,14.5163
2002-01-25,14.0714
2002-02-01,14.6262
2002-02-08,14.6756
2002-02-15,14.6921
2002-02-22,14.8019
2002-03-01,14.3735
2002-03-08,15.3292
2002-03-15,15.7741
2002-03-22,15.1864
2002-03-28,15.2413
2002-04-05,15.5709
2002-04-12,15.2688
2002-04-19,15.7082
2002-04-26,15.5049
2002-05-03,16.0871
2002-05-10,16.3727
2002-05-17,16.4826
2002-05-24,16.6199
2002-05-31,16.4441
2002-06-07,16.4386
2002-06-14,15.9938
2002-06-21,15.9279
2002-06-28,15.6258
2002-07-05,15.2907
2002-07-12,14.8953
2002-07-19,13.275
2002-07-26,12.9016
2002-08-02,13.0718
2002-08-09,12.5006
2002-08-16,13.0718
2002-08-23,13.2641
2002-08-30,13.0499
2002-09-06,11.7317
2002-09-13,11.2758
2002-09-20,9.8588
2002-09-27,10.0895
2002-10-04,9.6116
2002-10-11,9.8698
2002-10-18,9.6007
2002-10-25,10.1609
2002-11-01,9.9577
2002-11-08,9.7709
2002-11-15,9.6765
2002-11-22,10.3781
2002-11-29,10.3001
2002-12-06,10.005
2002-12-13,9.6543
2002-12-20,8.769
2002-12-27,8.6298
2003-01-03,8.975
2003-01-10,9.5986
2003-01-17,8.602
2003-01-24,8.2958
2003-01-31,7.9283
2003-02-07,7.5441
2003-02-14,7.5831
2003-02-21,7.5608
2003-02-28,7.5775
2003-03-07,7.1377
2003-03-14,7.5386
2003-03-21,8.1566
2003-03-28,8.2624
2003-04-04,8.1009
2003-04-11,8.7857
2003-04-17,8.9082
2003-04-25,8.8024
2003-05-02,9.7934
2003-05-09,9.7879
2003-05-16,10.3112
2003-05-23,9.9104
2003-05-30,10.4282
2003-06-06,11.7254
2003-06-13,11.9481
2003-06-20,12.2599
2003-06-27,12.4548
2003-07-03,12.594
2003-07-11,12.5717
2003-07-18,11.9091
2003-07-25,11.937
2003-08-01,12.7888
2003-08-08,13.3011
2003-08-15,12.7944
2003-08-22,12.2209
2003-08-29,12.4826
2003-09-05,12.9726
2003-09-12,13.0728
2003-09-19,13.3178
2003-09-26,13.1396
2003-10-03,13.5071
2003-10-10,13.5238
2003-10-17,13.4458
2003-10-24,13.4681
2003-10-31,13.9191
2003-11-07,14.4814
2003-11-14,14.5156
2003-11-21,14.1143
2003-11-28,14.4873
2003-12-05,14.6908
2003-12-12,14.5721
2003-12-19,13.7356
2003-12-26,13.6169
2004-01-02,14.0125
2004-01-09,14.216
2004-01-16,14.3065
2004-01-23,14.2726
2004-01-30,14.5495
2004-02-06,15.3522
2004-02-13,15.0526
2004-02-20,15.3522
2004-02-27,15.9966
2004-03-05,16.8727
2004-03-12,16.3979
2004-03-19,15.8835
2004-03-26,15.7535
2004-04-02,16.3583
2004-04-08,16.2057
2004-04-16,15.5218
2004-04-23,15.4539
2004-04-30,15.3917
2004-05-07,15.0978
2004-05-14,14.7926
2004-05-21,14.3856
2004-05-28,14.9226
2004-06-04,15.1826
2004-06-10,15.29
2004-06-18,15.2165
2004-06-25,15.2561
2004-07-02,14.7643
2004-07-09,14.9848
2004-07-16,15.7196
2004-07-23,15.307
2004-07-30,15.5444
2004-08-06,14.8887
2004-08-13,14.5891
2004-08-20,15.3013
2004-08-27,15.3578
2004-09-03,15.6913
2004-09-10,15.29
2004-09-17,15.6405
2004-09-24,15.6009
2004-10-01,15.9061
2004-10-08,15.7931
2004-10-15,16.3866
2004-10-22,16.1209
2004-10-29,16.477
2004-11-05,16.9914
2004-11-12,17.556
2004-11-19,16.8652
2004-11-26,17.5963
2004-12-03,18.0049
2004-12-10,18.2179
2004-12-17,18.7302
2004-12-23,18.6093
2004-12-31,18.4539
2005-01-07,18.3446
2005-01-14,18.0222
2005-01-21,17.9877
2005-01-28,18.4194
2005-02-04,18.7475
2005-02-11,18.5633
2005-02-18,18.6093
2005-02-25,18.9835
2005-03-04,19.5476
2005-03-11,18.759
2005-03-18,18.3618
2005-03-24,18.1776
2005-04-01,17.8438
2005-04-08,17.9244
2005-04-15,17.4408
2005-04-22,17.3027
2005-04-29,16.871
2005-05-06,16.9113
2005-05-13,17.0667
2005-05-20,17.8092
2005-05-27,17.9934
2005-06-03,17.5617
2005-06-10,16.9976
2005-06-17,16.6926
2005-06-24,16.2781
2005-07-01,16.0824
2005-07-08,16.4911
2005-07-15,17.838
2005-07-22,17.8092
2005-07-29,17.9416
2005-08-05,18.0165
2005-08-12,19.1389
2005-08-19,19.2137
2005-08-26,19.2713
2005-09-02,18.3618
2005-09-09,19.6512
2005-09-16,19.7087
2005-09-23,18.7878
2005-09-30,19.277
2005-10-07,18.546
2005-10-14,18.6036
2005-10-21,18.6957
2005-10-28,18.5863
2005-11-04,19.2425
2005-11-11,19.8477
2005-11-18,19.4308
2005-11-25,19.6481
2005-12-02,20.4995
2005-12-09,20.4584
2005-12-16,20.4056
2005-12-23,20.2881
2005-12-30,19.8008
2006-01-06,20.0004
2006-01-13,20.2412
2006-01-20,21.0574
2006-01-27,20.5818
2006-02-03,21.122
2006-02-10,21.3334
2006-02-17,21.1748
2006-02-24,20.752
2006-03-03,20.4643
2006-03-10,20.3469
2006-03-17,20.6111
2006-03-24,20.3762
2006-03-31,20.1766
2006-04-07,20.4819
2006-04-13,20.4643
2006-04-21,20.3175
2006-04-28,20.2999
2006-05-05,20.6757
2006-05-12,20.4819
2006-05-19,20.0533
2006-05-26,19.331
2006-06-02,19.6774
2006-06-09,19.7068
2006-06-16,19.4602
2006-06-23,19.1431
2006-06-30,19.7303
2006-07-07,19.4837
2006-07-14,19.4015
2006-07-21,20.3762
2006-07-28,20.7227
2006-08-04,20.7932
2006-08-11,20.3704
2006-08-18,21.2453
2006-08-25,20.6875
2006-09-01,21.5859
2006-09-08,22.0204
2006-09-15,22.1555
2006-09-22,22.4373
2006-09-29,22.9717
2006-10-06,23.553
2006-10-13,24.7275
2006-10-20,24.3517
2006-10-27,24.3517
2006-11-03,24.2166
2006-11-10,24.6453
2006-11-17,25.1488
2006-11-24,25.1849
2006-12-01,25.3051
2006-12-08,26.3154
2006-12-15,26.1049
2006-12-22,26.2011
2006-12-29,26.6582
2007-01-05,26.1831
2007-01-12,26.592
2007-01-19,26.9468
2007-01-26,25.8163
2007-02-02,26.7845
2007-02-09,26.7965
2007-02-16,27.2535
2007-02-23,27.6685
2007-03-02,26.2613
2007-03-09,26.5499
2007-03-16,26.147
2007-03-23,27.0912
2007-03-30,27.0912
2007-04-05,27.5301
2007-04-13,28.6487
2007-04-20,29.0816
2007-04-27,29.4364
2007-05-04,30.0198
2007-05-11,30.4588
2007-05-18,31.469
2007-05-25,30.6091
2007-06-01,30.6392
2007-06-08,30.9158
2007-06-15,31.3728
2007-06-22,30.3204
2007-06-29,30.5249
2007-07-06,30.9278
2007-07-13,31.2165
2007-07-20,31.3247
2007-07-27,29.3222
2007-08-03,29.1779
2007-08-10,29.7131
2007-08-17,28.6066
2007-08-24,30.14
2007-08-31,29.6169
2007-09-07,29.6108
2007-09-14,33.3453
2007-09-21,32.9544
2007-09-28,32.7559
2007-10-05,33.8985
2007-10-12,34.2894
2007-10-19,33.9286
2007-10-26,35.1614
2007-11-02,35.4921
2007-11-09,35.0652
2007-11-16,35.8752
2007-11-23,35.6222
2007-11-30,36.0851
2007-12-07,37.128
2007-12-14,37.7452
2007-12-21,37.0478
2007-12-28,36.7207
2008-01-04,35.2087
2008-01-11,33.5239
2008-01-18,32.3389
2008-01-25,33.3881
2008-02-01,33.4621
2008-02-08,34.3385
2008-02-15,34.1287
2008-02-22,34.3694
2008-02-29,33.6235
2008-03-07,32.4802
2008-03-14,34.0399
2008-03-20,33.8162
2008-03-28,34.4748
2008-04-04,34.624
2008-04-11,34.4251
2008-04-18,36.2272
2008-04-25,37.0785
2008-05-02,37.8739
2008-05-09,36.8113
2008-05-16,37.6129
2008-05-23,35.873
2008-05-30,36.861
2008-06-06,35.6169
2008-06-13,37.4931
2008-06-20,35.8983
2008-06-27,35.3355
2008-07-03,35.767
2008-07-11,35.8483
2008-07-18,37.7996
2008-07-25,36.6801
2008-08-01,37.3805
2008-08-08,41.0704
2008-08-15,39.7946
2008-08-22,39.6633
2008-08-29,39.0379
2008-09-05,37.9369
2008-09-12,40.3024
2008-09-19,40.2521
2008-09-26,39.7614
2008-10-03,37.8928
2008-10-10,33.5644
2008-10-17,33.8475
2008-10-24,33.3819
2008-10-31,36.4458
2008-11-07,34.8981
2008-11-14,35.3134
2008-11-21,34.6968
2008-11-28,37.2809
2008-12-05,39.8001
2008-12-12,38.4485
2008-12-19,38.2772
