date,price
2013-10-18,33.1796
2013-10-25,33.7592
2013-11-01,33.918
2013-11-08,34.0132
2013-11-15,34.5603
2013-11-22,34.6087
2013-11-29,34.4261
2013-12-06,34.442
2013-12-13,33.8941
2013-12-20,34.7119
2013-12-27,35.1051
2014-01-03,34.8741
2014-01-10,35.0892
2014-01-17,34.8263
2014-01-24,33.7273
2014-01-31,33.5282
2014-02-07,33.576
2014-02-14,34.4441
2014-02-21,34.5078
2014-02-28,35.1051
2014-03-07,35.352
2014-03-14,34.8662
2014-03-21,35.078
2014-03-28,35.1614
2014-04-04,35.4493
2014-04-11,34.6682
2014-04-17,35.6672
2014-04-25,35.4813
2014-05-02,35.8251
2014-05-09,36.0411
2014-05-16,35.9851
2014-05-23,36.0331
2014-05-30,36.4729
2014-06-06,36.9047
2014-06-13,36.4729
2014-06-20,37.1046
2014-06-27,36.9811
2014-07-03,37.2861
2014-07-11,36.9009
2014-07-18,36.9827
2014-07-25,36.933
2014-08-01,36.0181
2014-08-08,36.3471
2014-08-15,36.6681
2014-08-22,37.2459
2014-08-29,37.3985
2014-09-05,37.6874
2014-09-12,37.2646
2014-09-19,37.7997
2014-09-26,37.5124
2014-10-03,37.4616
2014-10-10,36.8844
2014-10-17,36.578
2014-10-24,37.989
2014-10-31,38.9805
2014-11-07,39.4562
2014-11-14,39.6577
2014-11-21,40.2947
2014-11-28,40.5446
2014-12-05,40.5526
2014-12-12,39.3594
2014-12-19,40.7864
2014-12-26,41.0929
2015-01-02,40.5745
2015-01-09,40.5502
2015-01-16,40.2585
2015-01-23,40.4854
2015-01-30,39.4809
2015-02-06,40.5502
2015-02-13,41.1334
2015-02-20,41.3521
2015-02-27,41.3278
2015-03-06,40.534
2015-03-13,40.4507
2015-03-20,41.2711
2015-03-27,40.6055
2015-04-02,40.8169
2015-04-10,41.2398
2015-04-17,40.7763
2015-04-24,41.1666
2015-05-01,40.8495
2015-05-08,41.2154
2015-05-15,41.5245
2015-05-22,41.3862
2015-05-29,40.9552
2015-06-05,40.6217
2015-06-12,40.7031
2015-06-19,41.0772
2015-06-26,40.994
2015-07-02,40.7733
2015-07-10,40.8796
2015-07-17,41.1167
2015-07-24,40.4872
2015-07-31,41.2066
2015-08-07,40.9777
2015-08-14,41.46
2015-08-21,39.539
2015-08-28,39.4246
2015-09-04,38.1657
2015-09-11,38.787
2015-09-18,38.7052
2015-09-25,38.4261
2015-10-02,38.7712
2015-10-09,40.1682
2015-10-16,40.2422
2015-10-23,40.8914
2015-10-30,41.0146
2015-11-06,41.1626
2015-11-13,39.8313
2015-11-20,41.0393
2015-11-27,41.3598
2015-12-04,41.3351
2015-12-11,39.9052
2015-12-18,39.7409
2015-12-24,41.0349
2015-12-31,40.7787
2016-01-08,38.5798
2016-01-15,38.1168
2016-01-22,38.6046
2016-01-29,39.8776
2016-02-05,39.4478
2016-02-12,39.4147
2016-02-19,40.3405
2016-02-26,41.0101
2016-03-04,41.8781
2016-03-11,42.4072
2016-03-18,43.1925
2016-03-24,42.858
2016-04-01,43.7543
2016-04-08,43.3975
2016-04-15,44.0033
2016-04-22,43.9618
2016-04-29,43.7709
2016-05-06,43.9369
2016-05-13,43.7211
2016-05-20,43.3726
2016-05-27,44.2191
2016-06-03,44.3768
2016-06-10,44.5511
2016-06-17,44.3851
2016-06-24,43.7724
2016-07-01,45.3732
2016-07-08,46.1486
2016-07-15,46.6489
2016-07-22,46.6322
2016-07-29,46.3987
2016-08-05,46.332
2016-08-12,46.5572
2016-08-19,46.4321
2016-08-26,46.0903
2016-09-02,46.3654
2016-09-09,44.7229
2016-09-16,44.6395
2016-09-23,45.3846
2016-09-30,45.5271
2016-10-07,44.7226
2016-10-14,44.1779
2016-10-21,43.8176
2016-10-28,43.3483
2016-11-04,43.0048
2016-11-11,44.5466
2016-11-18,44.6891
2016-11-25,45.3679
2016-12-02,44.9405
2016-12-09,46.0634
2016-12-16,45.7952
2016-12-23,45.7638
2016-12-30,45.5273
2017-01-06,45.8904
2017-01-13,45.5949
2017-01-20,45.8229
2017-01-27,45.9918
2017-02-03,45.9158
2017-02-10,46.4985
2017-02-17,47.3683
2017-02-24,47.7737
2017-03-03,47.7737
2017-03-10,47.6977
2017-03-17,48.0862
2017-03-24,47.5825
2017-03-31,47.6333
2017-04-07,47.5231
2017-04-13,47.2181
2017-04-21,47.6418
2017-04-28,48.3367
2017-05-05,48.5146
2017-05-12,47.9977
2017-05-19,48.1926
2017-05-26,48.5909
2017-06-02,49.2688
2017-06-09,49.3959
2017-06-16,49.6332
2017-06-23,49.3073
2017-06-30,49.1372
2017-07-07,49.1542
2017-07-14,49.3413
2017-07-21,49.588
2017-07-28,49.6305
2017-08-04,49.69
2017-08-11,49.1031
2017-08-18,48.8225
2017-08-25,49.0096
2017-09-01,49.4859
2017-09-08,49.7666
2017-09-15,50.3365
2017-09-22,50.413
2017-09-29,50.8511
2017-10-06,51.3985
2017-10-13,51.9545
2017-10-20,52.3565
2017-10-27,52.0315
2017-11-03,51.7663
2017-11-10,51.8005
2017-11-17,51.9716
2017-11-24,52.4164
2017-12-01,53.8277
2017-12-08,54.2896
2017-12-15,54.512
2017-12-22,54.9482
2017-12-29,55.0958
2018-01-05,55.741
2018-01-12,56.3519
2018-01-19,56.9627
2018-01-26,58.4511
2018-02-02,55.784
