date,price
1999-11-12,17.5315
1999-11-19,18.2564
1999-11-26,18.4575
1999-12-03,19.6482
1999-12-10,19.6189
1999-12-17,18.5886
1999-12-23,18.8223
1999-12-31,18.7214
2000-01-07,19.9854
2000-01-14,19.2206
2000-01-21,19.1887
2000-01-28,17.6591
2000-02-04,17.3936
2000-02-11,18.2593
2000-02-18,18.1903
2000-02-25,17.3936
2000-03-03,16.7988
2000-03-10,16.4037
2000-03-17,17.6039
2000-03-24,17.5719
2000-03-31,18.6068
2000-04-07,19.2043
2000-04-14,19.439
2000-04-20,19.8391
2000-04-28,19.5724
2000-05-05,20.0045
2000-05-12,21.0714
2000-05-19,20.938
2000-05-26,21.8716
2000-06-02,21.5035
2000-06-09,22.0795
2000-06-16,23.4177
2000-06-23,22.5131
2000-06-30,23.787
2000-07-07,22.7165
2000-07-14,22.315
2000-07-21,23.6853
2000-07-28,23.9529
2000-08-04,24.1189
2000-08-11,24.5203
2000-08-18,23.4872
2000-08-25,22.8824
2000-09-01,22.6469
2000-09-08,22.8567
2000-09-15,23.4958
2000-09-22,24.3712
2000-09-29,24.7042
2000-10-06,24.9083
2000-10-13,24.4357
2000-10-20,25.0049
2000-10-27,25.8481
2000-11-03,24.6022
2000-11-10,26.2133
2000-11-17,23.5979
2000-11-24,23.8986
2000-12-01,22.7601
2000-12-08,25.5563
2000-12-15,26.2943
2000-12-22,26.1973
2000-12-29,26.6983
2001-01-05,24.4088
2001-01-12,24.6135
2001-01-19,23.6008
2001-01-26,23.7354
2001-02-02,24.2364
2001-02-09,24.8883
2001-02-16,25.4916
2001-02-23,24.9852
2001-03-02,24.161
2001-03-09,25.072
2001-03-16,23.2295
2001-03-23,23.6942
2001-03-30,23.7482
2001-04-06,22.6945
2001-04-12,22.6459
2001-04-20,22.2947
2001-04-27,23.8293
2001-05-04,24.1427
2001-05-11,24.9478
2001-05-18,24.3048
2001-05-25,24.2129
2001-06-01,24.2129
2001-06-08,24.1236
2001-06-15,23.4514
2001-06-22,24.5681
2001-06-29,23.9609
2001-07-06,24.335
2001-07-13,24.6331
2001-07-20,25.0668
2001-07-27,24.7578
2001-08-03,24.091
2001-08-10,24.7524
2001-08-17,24.7632
2001-08-24,25.533
2001-08-31,25.4788
2001-09-07,25.7736
2001-09-10,25.5017
2001-09-21,25.5561
2001-09-28,26.3717
2001-10-05,26.562
2001-10-12,25.9802
2001-10-19,25.7301
2001-10-26,26.4805
2001-11-02,26.6436
2001-11-09,26.7524
2001-11-16,27.0569
2001-11-23,26.8611
2001-11-30,26.4424
2001-12-07,25.9601
2001-12-14,25.9001
2001-12-21,26.789
2001-12-28,26.7509
2002-01-04,26.3745
2002-01-11,26.4236
2002-01-18,26.7836
2002-01-25,26.789
2002-02-01,27.3344
2002-02-08,26.4891
2002-02-15,27.2035
2002-02-22,27.378
2002-03-01,27.9507
2002-03-08,27.0912
2002-03-15,27.8241
2002-03-22,27.8405
2002-03-28,28.1687
2002-04-05,27.6819
2002-04-12,28.3875
2002-04-19,29.0548
2002-04-26,28.568
2002-05-03,28.7157
2002-05-10,28.661
2002-05-17,28.5187
2002-05-24,27.474
2002-05-31,28.4312
2002-06-07,28.1402
2002-06-14,27.9208
2002-06-21,27.7562
2002-06-28,26.4397
2002-07-05,26.3848
2002-07-12,23.0936
2002-07-19,19.8572
2002-07-26,22.0514
2002-08-02,23.5599
2002-08-09,24.0261
2002-08-16,24.3498
2002-08-23,23.6696
2002-08-30,21.6948
2002-09-06,20.9218
2002-09-13,22.1114
2002-09-20,20.652
2002-09-27,20.2059
2002-10-04,20.3766
2002-10-11,23.4992
2002-10-18,24.1215
2002-10-25,24.3363
2002-11-01,24.3968
2002-11-08,24.1105
2002-11-15,24.7328
2002-11-22,23.1467
2002-11-29,23.3945
2002-12-06,24.2989
2002-12-13,23.1273
2002-12-20,22.8012
2002-12-27,23.0278
2003-01-03,23.9839
2003-01-10,23.6854
2003-01-17,24.122
2003-01-24,22.6907
2003-01-31,22.3702
2003-02-07,21.5578
2003-02-14,22.0276
2003-02-21,21.7734
2003-02-28,21.1765
2003-03-07,21.276
2003-03-14,21.638
2003-03-21,23.025
2003-03-28,22.1373
2003-04-04,21.4383
2003-04-11,22.3426
2003-04-17,23.6021
2003-04-25,23.6631
2003-05-02,24.0959
2003-05-09,24.2401
2003-05-16,24.0237
2003-05-23,24.168
2003-05-30,24.5231
2003-06-06,24.5785
2003-06-13,24.9121
2003-06-20,24.7394
2003-06-27,24.4109
2003-07-03,24.5167
2003-07-11,26.4043
2003-07-18,26.3486
2003-07-25,26.2429
2003-08-01,25.2517
2003-08-08,25.313
2003-08-15,25.1905
2003-08-22,24.2327
2003-08-29,24.8007
2003-09-05,24.6838
2003-09-12,25.2471
2003-09-19,25.5712
2003-09-26,25.4985
2003-10-03,26.3759
2003-10-10,26.8229
2003-10-17,26.7559
2003-10-24,26.8117
2003-10-31,26.7223
2003-11-07,26.5379
2003-11-14,26.4485
2003-11-21,26.5491
2003-11-28,26.89
2003-12-05,27.1023
2003-12-12,26.2864
2003-12-19,26.449
2003-12-26,26.0565
2004-01-02,26.0509
2004-01-09,25.664
2004-01-16,25.4509
2004-01-23,26.1014
2004-01-30,26.4995
2004-02-06,28.1536
2004-02-13,28.3274
2004-02-20,29.0171
2004-02-27,29.1012
2004-03-05,29.2806
2004-03-12,28.9935
2004-03-19,28.6448
2004-03-26,28.7179
2004-04-02,30.2871
2004-04-08,30.7877
2004-04-16,30.8158
2004-04-23,30.9058
2004-04-30,30.6471
2004-05-07,30.5739
2004-05-14,30.2308
2004-05-21,30.0677
2004-05-28,30.0171
2004-06-04,30.5627
2004-06-10,31.036
2004-06-18,31.0642
2004-06-25,30.4994
2004-07-02,30.0701
2004-07-09,29.9628
2004-07-16,29.5392
2004-07-23,28.7316
2004-07-30,28.2402
2004-08-06,28.7203
2004-08-13,28.7429
2004-08-20,28.2345
