date,price
1999-11-12,27.6982
1999-11-19,28.6043
1999-11-26,29.2514
1999-12-03,29.4585
1999-12-10,28.5784
1999-12-17,27.5041
1999-12-23,28.3454
1999-12-31,28.3713
2000-01-07,30.1574
2000-01-14,30.2869
2000-01-21,26.6589
2000-01-28,26.0359
2000-02-04,24.5952
2000-02-11,24.3356
2000-02-18,24.3045
2000-02-25,22.098
2000-03-03,22.9572
2000-03-10,13.9524
2000-03-17,14.9596
2000-03-24,14.6507
2000-03-31,14.7312
2000-04-07,16.4677
2000-04-14,16.3535
2000-04-20,17.9821
2000-04-28,15.585
2000-05-05,15.8798
2000-05-12,16.7275
2000-05-19,16.9701
2000-05-26,17.2805
2000-06-02,16.6936
2000-06-09,14.8677
2000-06-16,14.4765
2000-06-23,14.3304
2000-06-30,14.8025
2000-07-07,14.3148
2000-07-14,14.6069
2000-07-21,15.5146
2000-07-28,15.5303
2000-08-04,15.0554
2000-08-11,15.2837
2000-08-18,16.53
2000-08-25,16.4644
2000-09-01,16.105
2000-09-08,16.6455
2000-09-15,16.3988
2000-09-22,16.7609
2000-09-29,17.5795
2000-10-06,19.4005
2000-10-13,19.0567
2000-10-20,19.212
2000-10-27,20.2822
2000-11-03,17.9914
2000-11-10,18.8824
2000-11-17,19.9685
2000-11-24,19.4097
2000-12-01,19.4914
2000-12-08,18.7823
2000-12-15,18.8165
2000-12-22,19.4413
2000-12-29,20.6776
2001-01-05,19.755
2001-01-12,18.5345
2001-01-19,18.5289
2001-01-26,18.3461
2001-02-02,19.5409
2001-02-09,19.8667
2001-02-16,19.827
2001-02-23,19.8773
2001-03-02,18.452
2001-03-09,18.3169
2001-03-16,17.1407
2001-03-23,15.9485
2001-03-30,16.5843
2001-04-06,16.3406
2001-04-12,15.5776
2001-04-20,15.4593
2001-04-27,15.9471
2001-05-04,17.1305
2001-05-11,17.4584
2001-05-18,17.9861
2001-05-25,16.9253
2001-06-01,16.9279
2001-06-08,17.1332
2001-06-15,16.6854
2001-06-22,16.8666
2001-06-29,17.0052
2001-07-06,17.3251
2001-07-13,18.162
2001-07-20,18.2484
2001-07-27,18.8862
2001-08-03,18.8192
2001-08-10,19.2614
2001-08-17,20.0333
2001-08-24,20.6363
2001-08-31,19.8725
2001-09-07,19.9261
2001-09-10,19.8859
2001-09-21,17.9562
2001-09-28,19.508
2001-10-05,19.4812
2001-10-12,19.2802
2001-10-19,19.3339
2001-10-26,19.7651
2001-11-02,20.4792
2001-11-09,20.8321
2001-11-16,21.2175
2001-11-23,21.1393
2001-11-30,20.8726
2001-12-07,20.3256
2001-12-14,21.5301
2001-12-21,21.7295
2001-12-28,21.425
2002-01-04,21.1393
2002-01-11,20.8052
2002-01-18,21.6086
2002-01-25,21.4272
2002-02-01,22.3559
2002-02-08,22.2259
2002-02-15,23.0111
2002-02-22,23.1763
2002-03-01,23.7042
2002-03-08,22.7214
2002-03-15,23.5743
2002-03-22,24.3946
2002-03-28,24.3919
2002-04-05,24.3134
2002-04-12,24.8901
2002-04-19,24.1631
2002-04-26,24.4159
2002-05-03,25.0005
2002-05-10,25.1229
2002-05-17,25.4546
2002-05-24,24.541
2002-05-31,24.348
2002-06-07,24.2909
2002-06-14,24.8918
2002-06-21,25.5171
2002-06-28,24.28
2002-07-05,24.4377
2002-07-12,22.7384
2002-07-19,20.3488
2002-07-26,23.0106
2002-08-02,24.5519
2002-08-09,24.9072
2002-08-16,24.8662
2002-08-23,24.6639
2002-08-30,24.2267
2002-09-06,24.582
2002-09-13,25.1422
2002-09-20,24.8935
2002-09-27,24.0846
