date,price
2011-10-28,5.7382
2011-11-04,5.6345
2011-11-11,5.725
2011-11-18,5.5765
2011-11-25,5.3499
2011-12-02,5.6963
2011-12-09,5.7576
2011-12-16,5.6257
2011-12-23,5.8258
2011-12-30,5.8036
2012-01-06,5.8258
2012-01-13,5.8302
2012-01-20,5.9504
2012-01-27,5.93
2012-02-03,6.0009
2012-02-10,5.9721
2012-02-17,6.0541
2012-02-24,6.0674
2012-03-02,6.0692
2012-03-09,6.0736
2012-03-16,6.1769
2012-03-23,6.1443
2012-03-30,6.2134
2012-04-05,6.1813
2012-04-13,6.0797
2012-04-20,6.1577
2012-04-27,6.2201
2012-05-04,6.1421
2012-05-11,6.0953
2012-05-18,5.9193
2012-05-25,5.9902
2012-06-01,5.8569
2012-06-08,6.0485
2012-06-15,6.1466
2012-06-22,6.0985
2012-06-29,6.2309
2012-07-06,6.213
2012-07-13,6.2532
2012-07-20,6.3073
2012-07-27,6.3993
2012-08-03,6.4083
2012-08-10,6.4374
2012-08-17,6.4733
2012-08-24,6.43
2012-08-31,6.4217
2012-09-07,6.4891
2012-09-14,6.5497
2012-09-21,6.5469
2012-09-28,6.4995
2012-10-05,6.594
2012-10-12,6.4746
2012-10-19,6.5243
2012-10-26,6.4294
2012-11-02,6.4294
2012-11-09,6.3048
2012-11-16,6.2327
2012-11-23,6.4136
2012-11-30,6.4687
2012-12-07,6.5017
2012-12-14,6.4836
2012-12-21,6.5176
2012-12-28,6.3782
2013-01-04,6.6332
2013-01-11,6.6633
2013-01-18,6.7637
2013-01-25,6.8436
2013-02-01,6.8892
2013-02-08,6.9006
2013-02-15,6.9166
2013-02-22,6.9531
2013-03-01,6.9918
2013-03-08,7.1173
2013-03-15,7.1561
2013-03-22,7.2273
2013-03-28,7.2984
2013-04-05,7.2502
2013-04-12,7.4018
2013-04-19,7.3696
2013-04-26,7.4592
2013-05-03,7.5946
2013-05-10,7.6336
2013-05-17,7.7989
2013-05-24,7.7645
2013-05-31,7.6222
2013-06-07,7.7094
2013-06-14,7.6497
2013-06-21,7.5028
2013-06-28,7.5598
2013-07-05,7.6523
2013-07-12,7.8835
2013-07-19,7.9136
2013-07-26,7.9112
2013-08-02,7.9783
2013-08-09,7.9228
2013-08-16,7.7194
2013-08-23,7.7563
2013-08-30,7.6269
2013-09-06,7.6801
2013-09-13,7.8789
2013-09-20,7.9922
2013-09-27,7.8785
2013-10-04,7.8082
2013-10-11,7.9273
2013-10-18,8.0597
2013-10-25,8.1787
2013-11-01,8.2392
2013-11-08,8.3183
2013-11-15,8.4322
2013-11-22,8.4603
2013-11-29,8.4324
2013-12-06,8.4394
2013-12-13,8.2671
2013-12-20,8.465
2013-12-27,8.5654
2014-01-03,8.5186
2014-01-10,8.5443
2014-01-17,8.4928
2014-01-24,8.2821
2014-01-31,8.2092
2014-02-07,8.2102
2014-02-14,8.4154
2014-02-21,8.392
2014-02-28,8.5279
2014-03-07,8.5842
2014-03-14,8.4691
2014-03-21,8.5607
