date,price
2012-11-02,15.1692
2012-11-09,14.7655
2012-11-16,14.5847
2012-11-23,14.8734
2012-11-30,15.113
2012-12-07,15.113
2012-12-14,15.0467
2012-12-21,15.1579
2012-12-28,14.88
2013-01-04,15.5036
2013-01-11,15.5407
2013-01-18,15.6398
2013-01-25,15.7823
2013-02-01,16.0487
2013-02-08,16.0983
2013-02-15,16.1491
2013-02-22,16.2673
2013-03-01,16.2841
2013-03-08,16.5534
2013-03-15,16.6821
2013-03-22,16.7569
2013-03-28,17.0813
2013-04-05,17.0938
2013-04-12,17.4925
2013-04-19,17.4235
2013-04-26,17.6487
2013-05-03,17.7989
2013-05-10,17.7175
2013-05-17,18.0836
2013-05-24,17.7762
2013-05-31,17.2368
2013-06-07,17.4187
2013-06-14,17.3736
2013-06-21,17.012
2013-06-28,17.2478
2013-07-05,17.2163
2013-07-12,17.8202
2013-07-19,17.9843
2013-07-26,17.915
2013-08-02,17.9591
2013-08-09,17.8266
2013-08-16,17.2676
2013-08-23,17.3144
2013-08-30,17.0614
2013-09-06,17.0551
2013-09-13,17.3317
2013-09-20,17.5665
2013-09-27,17.4142
2013-10-04,17.2177
2013-10-11,17.5348
2013-10-18,17.8024
2013-10-25,18.1398
2013-11-01,18.1207
2013-11-08,18.108
2013-11-15,18.2522
2013-11-22,18.167
2013-11-29,18.0308
2013-12-06,17.984
2013-12-13,17.6671
2013-12-20,17.9685
2013-12-27,18.1597
2014-01-03,17.9865
2014-01-10,18.0443
2014-01-17,17.998
2014-01-24,17.7599
2014-01-31,17.8436
2014-02-07,17.9079
2014-02-14,18.2891
2014-02-21,18.3511
2014-02-28,18.4867
2014-03-07,18.5383
2014-03-14,18.5135
2014-03-21,18.678
2014-03-28,18.902
2014-04-04,19.1481
2014-04-11,18.9732
2014-04-17,19.4262
2014-04-25,19.5041
2014-05-02,19.7704
2014-05-09,19.8094
2014-05-16,19.7796
2014-05-23,19.8383
2014-05-30,20.1705
2014-06-06,20.2551
2014-06-13,20.1166
2014-06-20,20.5854
2014-06-27,20.5266
2014-07-03,20.4678
2014-07-11,20.49
2014-07-18,20.4122
2014-07-25,20.2943
2014-08-01,19.7835
2014-08-08,19.7901
2014-08-15,20.1111
2014-08-22,20.3795
2014-08-29,20.5479
2014-09-05,20.629
2014-09-12,20.2021
2014-09-19,20.4651
2014-09-26,20.2872
2014-10-03,20.3136
2014-10-10,20.0896
2014-10-17,20.0629
2014-10-24,20.8028
2014-10-31,21.2454
2014-11-07,21.404
2014-11-14,21.3001
2014-11-21,21.585
2014-11-28,21.7175
2014-12-05,21.7042
2014-12-12,21.267
2014-12-19,21.9075
2014-12-26,22.2265
2015-01-02,21.8943
2015-01-09,22.0006
2015-01-16,22.2494
2015-01-23,22.4293
2015-01-30,21.8526
2015-02-06,22.1001
2015-02-13,22.1792
2015-02-20,22.1658
2015-02-27,22.1257
2015-03-06,21.4775
2015-03-13,21.4272
2015-03-20,22.0774
2015-03-27,21.8835
2015-04-02,22.1041
2015-04-10,22.3052
2015-04-17,22.1125
2015-04-24,22.388
2015-05-01,22.1662
2015-05-08,22.1729
2015-05-15,22.2809
2015-05-22,22.2202
2015-05-29,22.072
2015-06-05,21.6069
