date,price
2011-05-13,18.3476
2011-05-20,18.4229
2011-05-27,18.2708
2011-06-03,17.9015
2011-06-10,17.7422
2011-06-17,17.8822
2011-06-24,17.8132
2011-07-01,18.3908
2011-07-08,18.4054
2011-07-15,18.098
2011-07-22,18.3242
2011-07-29,17.7623
2011-08-05,17.0399
2011-08-12,16.945
2011-08-19,16.7642
2011-08-26,17.2691
2011-09-02,17.3569
2011-09-09,17.1228
2011-09-16,17.8328
2011-09-23,17.1943
2011-09-30,17.3925
2011-10-07,17.4952
2011-10-14,18.015
2011-10-21,18.4565
2011-10-28,18.6626
2011-11-04,18.4271
2011-11-11,18.6074
2011-11-18,18.2064
2011-11-25,17.6529
2011-12-02,18.5016
2011-12-09,18.6787
2011-12-16,18.5705
2011-12-23,19.2147
2011-12-30,19.1998
2012-01-06,19.0147
2012-01-13,19.0939
2012-01-20,19.2127
2012-01-27,19.1533
2012-02-03,19.3017
2012-02-10,19.2052
2012-02-17,19.3746
2012-02-24,19.449
2012-03-02,19.5086
2012-03-09,19.6574
2012-03-16,19.7459
2012-03-23,19.7757
2012-03-30,19.9996
2012-04-05,19.9548
2012-04-13,19.674
2012-04-20,19.9732
2012-04-27,20.2201
2012-05-04,20.0331
2012-05-11,20.0705
2012-05-18,19.6607
2012-05-25,19.9156
2012-06-01,19.6082
2012-06-08,20.1856
2012-06-15,20.4891
2012-06-22,20.3538
2012-06-29,20.7296
2012-07-06,20.7672
2012-07-13,20.9837
2012-07-20,20.9913
2012-07-27,21.2248
2012-08-03,21.1344
2012-08-10,21.1118
2012-08-17,21.1334
2012-08-24,21.0201
2012-08-31,20.9673
2012-09-07,21.1788
2012-09-14,21.1949
2012-09-21,21.3614
2012-09-28,21.3235
2012-10-05,21.6339
2012-10-12,21.2478
2012-10-19,21.4537
2012-10-26,21.2337
2012-11-02,21.211
2012-11-09,20.7027
2012-11-16,20.5905
2012-11-23,20.91
2012-11-30,21.2827
2012-12-07,21.2979
2012-12-14,21.1806
2012-12-21,21.2951
2012-12-28,20.8599
2013-01-04,21.7074
2013-01-11,21.6692
2013-01-18,21.9084
2013-01-25,22.1228
2013-02-01,22.3524
2013-02-08,22.4213
2013-02-15,22.4737
2013-02-22,22.7269
2013-03-01,22.865
2013-03-08,23.1412
2013-03-15,23.3183
2013-03-22,23.4567
2013-03-28,23.9028
2013-04-05,23.9781
2013-04-12,24.4642
2013-04-19,24.5353
2013-04-26,24.5738
2013-05-03,24.8436
2013-05-10,24.674
2013-05-17,25.1297
2013-05-24,24.5889
2013-05-31,23.9091
2013-06-07,24.1332
2013-06-14,24.1816
2013-06-21,23.6241
2013-06-28,24.0965
2013-07-05,24.112
2013-07-12,24.9327
2013-07-19,25.2919
2013-07-26,25.1988
2013-08-02,25.2686
2013-08-09,25.1056
2013-08-16,24.2761
2013-08-23,24.315
2013-08-30,23.8406
2013-09-06,23.9495
2013-09-13,24.3268
2013-09-20,24.6855
2013-09-27,24.4282
2013-10-04,24.2254
2013-10-11,24.6855
2013-10-18,25.1131
2013-10-25,25.543
2013-11-01,25.543
2013-11-08,25.5977
2013-11-15,25.9737
2013-11-22,25.8954
2013-11-29,25.7387
2013-12-06,25.8092
2013-12-13,25.2517
2013-12-20,25.7619
2013-12-27,25.9817
2014-01-03,25.7148
2014-01-10,25.9267
2014-01-17,25.7758
2014-01-24,25.241
2014-01-31,25.359
2014-02-07,25.3432
2014-02-14,26.0051
2014-02-21,26.0682
2014-02-28,26.3204
2014-03-07,26.4781
2014-03-14,26.3753
2014-03-21,26.4543
2014-03-28,26.5886
2014-04-04,26.8097
2014-04-11,26.4622
2014-04-17,27.007
2014-04-25,27.0386
2014-05-02,27.2207
2014-05-09,27.3157
2014-05-16,27.2919
2014-05-23,27.3236
2014-05-30,27.6726
2014-06-06,27.9264
2014-06-13,27.6956
2014-06-20,28.2599
2014-06-27,28.2519
2014-07-03,28.1963
2014-07-11,28.1248
2014-07-18,28.1239
2014-07-25,27.9487
2014-08-01,27.2161
2014-08-08,27.3595
2014-08-15,27.6309
2014-08-22,27.974
2014-08-29,28.1974
2014-09-05,28.341
2014-09-12,27.8303
2014-09-19,28.1539
2014-09-26,27.9621
2014-10-03,28.058
2014-10-10,27.7542
2014-10-17,27.7431
2014-10-24,28.6401
2014-10-31,29.3209
2014-11-07,29.6893
2014-11-14,29.5335
2014-11-21,29.9107
2014-11-28,30.1675
2014-12-05,30.2557
2014-12-12,29.5977
2014-12-19,30.5344
2014-12-26,31.0249
2015-01-02,30.5585
2015-01-09,30.6711
2015-01-16,30.8691
2015-01-23,31.1189
2015-01-30,30.3534
2015-02-06,30.8046
2015-02-13,30.8292
2015-02-20,30.9261
2015-02-27,30.7969
2015-03-06,30.1509
2015-03-13,30.2126
2015-03-20,31.1188
2015-03-27,30.5201
2015-04-02,30.7547
2015-04-10,30.8518
2015-04-17,30.4207
2015-04-24,30.7531
2015-05-01,30.3315
2015-05-08,30.4694
2015-05-15,30.6148
2015-05-22,30.631
2015-05-29,30.3467
2015-06-05,29.9648
2015-06-12,30.1679
2015-06-19,30.4374
2015-06-26,30.356
2015-07-02,30.2258
2015-07-10,30.5351
2015-07-17,30.9185
2015-07-24,30.5596
2015-07-31,31.106
2015-08-07,31.106
2015-08-14,31.4918
2015-08-21,30.1517
2015-08-28,29.8249
2015-09-04,28.9424
2015-09-11,29.4817
2015-09-18,29.5291
2015-09-25,29.5291
2015-10-02,29.701
2015-10-09,30.6507
2015-10-16,30.7989
2015-10-23,31.5125
2015-10-30,31.4633
2015-11-06,31.3813
2015-11-13,30.723
2015-11-20,31.8405
2015-11-27,31.9309
2015-12-04,31.9555
2015-12-11,31.0188
2015-12-18,31.1154
2015-12-24,31.9139
2015-12-31,31.7493
2016-01-08,30.4075
2016-01-15,30.0792
2016-01-22,30.3844
2016-01-29,31.1926
2016-02-05,30.6895
2016-02-12,30.7066
2016-02-19,31.3759
2016-02-26,31.6734
2016-03-04,32.1775
2016-03-11,32.6072
2016-03-18,33.0226
2016-03-24,32.915
2016-04-01,33.6766
2016-04-08,33.2626
2016-04-15,33.4358
