date,price
1999-11-12,88.5129
1999-11-19,90.2547
1999-11-26,89.5817
1999-12-03,91.1057
1999-12-10,89.8588
1999-12-17,90.5935
1999-12-23,93.0042
1999-12-31,93.2522
2000-01-07,92.538
2000-01-14,93.3117
2000-01-21,91.7046
2000-01-28,86.2682
2000-02-04,90.534
2000-02-11,88.0539
2000-02-18,85.9111
2000-02-25,84.6512
2000-03-03,89.6015
2000-03-10,88.9666
2000-03-17,93.5273
2000-03-24,97.7442
2000-03-31,95.7154
2000-04-07,96.3916
2000-04-14,86.5655
2000-04-20,91.5382
2000-04-28,92.3537
2000-05-05,91.3592
2000-05-12,90.9017
2000-05-19,89.8276
2000-05-26,87.8385
2000-06-02,94.1042
2000-06-09,93.3085
2000-06-16,93.5303
2000-06-23,92.1147
2000-06-30,92.6929
2000-07-07,94.4873
2000-07-14,96.5011
2000-07-21,94.2282
2000-07-28,90.6592
2000-08-04,93.3907
2000-08-11,94.0487
2000-08-18,95.5042
2000-08-25,96.5011
2000-09-01,97.2986
2000-09-08,95.584
2000-09-15,93.3909
2000-09-22,92.9312
2000-09-29,91.8717
2000-10-06,90.2326
2000-10-13,87.9938
2000-10-20,89.493
2000-10-27,89.0932
2000-11-03,91.332
2000-11-10,87.3941
2000-11-17,87.4041
2000-11-24,86.2547
2000-12-01,84.5755
2000-12-08,85.695
2000-12-15,84.0391
2000-12-22,84.0191
2000-12-29,84.1795
2001-01-05,82.8961
2001-01-12,84.7008
2001-01-19,85.9942
2001-01-26,87.1873
2001-02-02,86.4975
2001-02-09,84.5982
2001-02-16,83.6742
2001-02-23,80.1835
2001-03-02,79.3172
2001-03-09,79.1568
2001-03-16,74.0013
2001-03-23,73.6602
2001-03-30,75.0822
2001-04-06,72.901
2001-04-12,76.472
2001-04-20,80.1074
2001-04-27,80.931
2001-05-04,81.9348
2001-05-11,80.5257
2001-05-18,83.479
2001-05-25,82.4238
2001-06-01,81.5423
2001-06-08,81.716
2001-06-15,78.6253
2001-06-22,79.2705
2001-06-29,79.1092
2001-07-06,76.8185
2001-07-13,78.8769
2001-07-20,78.2962
2001-07-27,77.9542
2001-08-03,78.6833
2001-08-10,76.9734
2001-08-17,75.3344
2001-08-24,76.7992
2001-08-31,73.6567
2001-09-07,70.153
2001-09-10,71.0112
2001-09-21,63.0093
2001-09-28,67.6469
2001-10-05,69.454
2001-10-12,70.9243
2001-10-19,69.5317
2001-10-26,71.4554
2001-11-02,70.7624
2001-11-09,73.0099
2001-11-16,74.0722
2001-11-23,74.9271
2001-11-30,73.8714
2001-12-07,75.4971
2001-12-14,73.2755
2001-12-21,74.7087
2001-12-28,75.3911
2002-01-04,76.444
2002-01-11,74.7022
2002-01-18,73.5388
2002-01-25,73.7988
2002-02-01,73.2139
2002-02-08,71.5501
2002-02-15,72.07
2002-02-22,71.2576
2002-03-01,73.9223
2002-03-08,76.0345
2002-03-15,76.0287
2002-03-22,74.9793
2002-03-28,74.6404
2002-04-05,73.4477
2002-04-12,72.6199
2002-04-19,73.5715
2002-04-26,69.9933
2002-05-03,70.1172
2002-05-10,68.9049
2002-05-17,72.281
2002-05-24,70.8406
2002-05-31,69.8825
2002-06-07,67.3537
2002-06-14,66.0892
2002-06-21,64.9378
2002-06-28,64.7285
2002-07-05,64.9574
2002-07-12,60.0779
2002-07-19,55.4077
2002-07-26,55.9899
2002-08-02,56.7682
2002-08-09,59.7116
2002-08-16,60.974
2002-08-23,61.8767
2002-08-30,60.0321
2002-09-06,58.8679
2002-09-13,58.652
2002-09-20,55.4196
2002-09-27,54.3683
2002-10-04,53.0872
2002-10-11,55.2947
2002-10-18,58.2382
2002-10-25,59.2631
2002-11-01,59.3091
2002-11-08,58.9018
2002-11-15,60.0516
2002-11-22,61.3787
2002-11-29,61.7467
2002-12-06,60.4655
2002-12-13,58.6981
2002-12-20,59.4115
2002-12-27,57.6884
2003-01-03,60.3094
2003-01-10,61.4383
2003-01-17,59.8539
2003-01-24,57.0282
2003-01-31,56.8169
2003-02-07,55.074
2003-02-14,55.556
2003-02-21,56.236
2003-02-28,56.0511
2003-03-07,55.008
2003-03-14,55.5427
2003-03-21,59.4342
2003-03-28,57.4723
2003-04-04,58.4731
2003-04-11,57.7639
2003-04-17,59.3613
2003-04-25,59.8054
2003-05-02,61.7806
2003-05-09,62.1252
2003-05-16,62.8808
2003-05-23,62.1451
2003-05-30,64.2595
2003-06-06,65.7906
2003-06-13,65.9894
2003-06-20,66.1487
2003-06-27,64.9646
2003-07-03,65.683
2003-07-11,66.6808
2003-07-18,66.1952
2003-07-25,66.6742
2003-08-01,65.53
2003-08-08,65.377
2003-08-15,66.2684
2003-08-22,66.3682
2003-08-29,67.4791
2003-09-05,68.4037
2003-09-12,68.1509
2003-09-19,69.2286
2003-09-26,66.7445
2003-10-03,69.0417
2003-10-10,69.8296
2003-10-17,69.6226
2003-10-24,69.1685
2003-10-31,70.3171
2003-11-07,70.5241
2003-11-14,70.424
2003-11-21,69.5892
2003-11-28,71.0851
2003-12-05,71.3522
2003-12-12,72.2136
2003-12-19,73.0654
