date,price
2011-10-28,20.1028
2011-11-04,19.9328
2011-11-11,20.2418
2011-11-18,19.7241
2011-11-25,19.1524
2011-12-02,20.18
2011-12-09,20.3268
2011-12-16,20.0178
2011-12-23,20.666
2011-12-30,20.7048
2012-01-06,20.6814
2012-01-13,20.7667
2012-01-20,21.0535
2012-01-27,21.038
2012-02-03,21.2239
2012-02-10,21.0999
2012-02-17,21.3696
2012-02-24,21.4641
2012-03-02,21.4177
2012-03-09,21.6269
2012-03-16,21.8051
2012-03-23,21.758
2012-03-30,21.9689
2012-04-05,21.968
2012-04-13,21.7191
2012-04-20,22.0304
2012-04-27,22.3409
2012-05-04,22.0693
2012-05-11,22.0771
2012-05-18,21.4095
2012-05-25,21.7891
2012-06-01,21.3767
2012-06-08,21.9837
2012-06-15,22.3183
2012-06-22,22.2677
2012-06-29,22.5639
2012-07-06,22.6263
2012-07-13,22.868
2012-07-20,22.8446
2012-07-27,23.1175
2012-08-03,23.0161
2012-08-10,22.9226
2012-08-17,23.0239
2012-08-24,22.9928
2012-08-31,22.9616
2012-09-07,23.2423
2012-09-14,23.3202
2012-09-21,23.4294
2012-09-28,23.3239
2012-10-05,23.6534
2012-10-12,23.1607
2012-10-19,23.2454
2012-10-26,23.0022
2012-11-02,23.0493
2012-11-09,22.5943
2012-11-16,22.4452
2012-11-23,22.9944
2012-11-30,23.1435
2012-12-07,23.1121
2012-12-14,22.9936
2012-12-21,23.0835
2012-12-28,22.6518
2013-01-04,23.5785
2013-01-11,23.6891
2013-01-18,23.8787
2013-01-25,24.0842
2013-02-01,24.2975
2013-02-08,24.4318
2013-02-15,24.4002
2013-02-22,24.6057
2013-03-01,24.819
2013-03-08,25.1588
2013-03-15,25.2615
2013-03-22,25.5746
2013-03-28,25.9841
2013-04-05,25.9206
2013-04-12,26.4838
2013-04-19,26.3489
2013-04-26,26.5472
2013-05-03,26.7376
2013-05-10,26.801
2013-05-17,27.1659
2013-05-24,26.7773
2013-05-31,26.0815
2013-06-07,26.2855
2013-06-14,26.2617
2013-06-21,25.6034
2013-06-28,25.97
2013-07-05,26.1056
2013-07-12,26.9109
2013-07-19,27.0544
2013-07-26,27.0146
2013-08-02,27.1182
2013-08-09,26.9747
2013-08-16,26.2491
2013-08-23,26.4165
2013-08-30,26.0498
2013-09-06,26.1375
2013-09-13,26.6637
2013-09-20,27.0863
2013-09-27,26.8319
2013-10-04,26.7033
2013-10-11,26.9847
2013-10-18,27.6438
2013-10-25,27.9734
2013-11-01,28.0538
2013-11-08,28.102
2013-11-15,28.5361
2013-11-22,28.4685
2013-11-29,28.3431
2013-12-06,28.319
2013-12-13,27.7644
2013-12-20,28.311
2013-12-27,28.5657
2014-01-03,28.4121
2014-01-10,28.6789
2014-01-17,28.5869
2014-01-24,27.9432
2014-01-31,27.83
2014-02-07,27.9513
2014-02-14,28.6628
2014-02-21,28.7921
2014-02-28,29.0509
2014-03-07,29.2368
2014-03-14,28.9781
2014-03-21,29.0509
2014-03-28,29.02
2014-04-04,29.1581
2014-04-11,28.6543
2014-04-17,29.3369
2014-04-25,29.3288
2014-05-02,29.597
2014-05-09,29.662
2014-05-16,29.6701
2014-05-23,29.7757
2014-05-30,30.0277
2014-06-06,30.2715
2014-06-13,30.0114
2014-06-20,30.4421
2014-06-27,30.4007
2014-07-03,30.6213
2014-07-11,30.5559
2014-07-18,30.6948
2014-07-25,30.5722
2014-08-01,29.9678
2014-08-08,30.1067
2014-08-15,30.5559
2014-08-22,30.9561
2014-08-29,31.1603
2014-09-05,31.3319
2014-09-12,30.8663
2014-09-19,31.242
2014-09-26,30.9564
2014-10-03,31.0548
2014-10-10,30.5626
2014-10-17,30.3903
2014-10-24,31.5143
2014-10-31,32.2281
2014-11-07,32.5481
2014-11-14,32.663
2014-11-21,32.9829
2014-11-28,33.3768
2014-12-05,33.3932
2014-12-12,32.6219
2014-12-19,33.5409
2014-12-26,33.8762
2015-01-02,33.4143
2015-01-09,33.7277
2015-01-16,33.7442
2015-01-23,34.1731
2015-01-30,33.2246
2015-02-06,33.8349
2015-02-13,34.2144
2015-02-20,34.4206
2015-02-27,34.4371
2015-03-06,33.7772
2015-03-13,33.6947
2015-03-20,34.5855
2015-03-27,34.0488
2015-04-02,34.1647
2015-04-10,34.4713
2015-04-17,34.0571
2015-04-24,34.6287
2015-05-01,34.2393
2015-05-08,34.4547
2015-05-15,34.6949
2015-05-22,34.637
2015-05-29,34.3304
2015-06-05,33.8665
2015-06-12,33.9162
2015-06-19,34.3056
2015-06-26,34.1149
2015-07-02,33.9901
2015-07-10,34.3314
2015-07-17,34.7726
2015-07-24,34.3397
2015-07-31,34.9141
2015-08-07,34.9141
2015-08-14,35.3387
2015-08-21,33.9484
2015-08-28,33.6654
2015-09-04,32.6331
2015-09-11,33.1409
2015-09-18,33.4073
2015-09-25,33.3172
2015-10-02,33.585
2015-10-09,34.3715
2015-10-16,34.7396
2015-10-23,35.1496
2015-10-30,35.1078
2015-11-06,34.9655
2015-11-13,34.1539
2015-11-20,35.1161
2015-11-27,35.1998
2015-12-04,35.3086
2015-12-11,34.4384
2015-12-18,34.6141
2015-12-24,35.4201
2015-12-31,35.2097
2016-01-08,33.8794
2016-01-15,33.4753
2016-01-22,33.9131
2016-01-29,34.7213
2016-02-05,34.0646
2016-02-12,34.0057
2016-02-19,34.8392
2016-02-26,35.3191
2016-03-04,35.8748
2016-03-11,36.3294
2016-03-18,36.7756
2016-03-24,36.6234
2016-04-01,37.4778
2016-04-08,37.2071
2016-04-15,37.3425
2016-04-22,37.1394
2016-04-29,37.0295
2016-05-06,37.4102
2016-05-13,37.4355
2016-05-20,37.0887
2016-05-27,37.6386
2016-06-03,37.9262
2016-06-10,38.1208
2016-06-17,37.9262
2016-06-24,37.8552
2016-07-01,39.3691
2016-07-08,39.8283
2016-07-15,39.8964
2016-07-22,40.126
2016-07-29,39.8794
2016-08-05,39.7008
2016-08-12,39.7263
2016-08-19,39.3946
2016-08-26,39.0714
2016-09-02,39.3521
2016-09-09,38.1869
2016-09-16,38.3655
2016-09-23,39.0969
2016-09-30,38.8445
2016-10-07,38.0921
2016-10-14,38.0066
2016-10-21,37.8185
2016-10-28,37.5449
2016-11-04,37.1943
2016-11-11,37.6731
2016-11-18,37.8869
2016-11-25,38.2717
2016-12-02,37.8099
2016-12-09,38.7505
2016-12-16,38.9899
2016-12-23,39.0606
2016-12-30,38.9315
2017-01-06,39.3103
2017-01-13,39.207
2017-01-20,39.2844
2017-01-27,39.448
2017-02-03,39.5944
2017-02-10,40.0421
2017-02-17,40.5586
2017-02-24,41.2732
2017-03-03,41.3076
2017-03-10,41.2215
2017-03-17,41.5487
2017-03-24,41.2549
2017-03-31,41.2636
2017-04-07,41.2031
2017-04-13,41.0993
2017-04-21,41.4711
2017-04-28,41.8429
2017-05-05,41.9554
2017-05-12,41.6354
2017-05-19,41.7132
2017-05-26,42.4915
2017-06-02,43.0968
2017-06-09,42.7509
2017-06-16,43.0795
2017-06-23,42.9584
2017-06-30,42.5325
2017-07-07,42.4716
2017-07-14,42.8107
2017-07-21,43.1931
2017-07-28,43.2714
2017-08-04,43.3583
2017-08-11,43.0888
2017-08-18,43.1019
2017-08-25,43.4104
2017-09-01,43.6886
2017-09-08,43.8277
2017-09-15,44.0537
2017-09-22,43.7842
2017-09-29,43.9495
2017-10-06,44.3511
2017-10-13,44.552
2017-10-20,44.9972
2017-10-27,45.0147
2017-11-03,44.9274
2017-11-10,45.0321
2017-11-17,45.0932
2017-11-24,45.3639
2017-12-01,46.1409
2017-12-08,46.1409
2017-12-15,46.5163
2017-12-22,46.2075
2017-12-29,46.2952
2018-01-05,46.7951
2018-01-12,46.953
2018-01-19,47.4705
2018-01-26,48.5143
2018-02-02,46.9793
2018-02-09,44.7953
2018-02-16,46.4706
2018-02-23,46.3741
2018-03-02,45.5935
2018-03-09,47.0056
2018-03-16,46.7162
2018-03-23,44.6734
2018-03-29,45.7572
2018-04-06,45.3695
2018-04-13,45.8542
2018-04-20,46.0304
2018-04-27,46.1361
2018-05-04,45.8365
2018-05-11,46.5503
2018-05-18,46.0744
2018-05-25,46.3828
2018-06-01,46.5238
2018-06-08,47.264
2018-06-15,47.4666
2018-06-22,47.2375
2018-06-29,47.0975
2018-07-06,47.8152
2018-07-13,48.3733
2018-07-20,48.3645
2018-07-27,48.5771
2018-08-03,48.9758
2018-08-10,49.0289
2018-08-17,49.8174
2018-08-24,49.9769
2018-08-31,50.1364
2018-09-07,50.2693
2018-09-14,50.792
2018-09-21,51.0135
2018-09-28,50.761
2018-10-05,50.3783
2018-10-12,48.6074
2018-10-19,49.2926
2018-10-26,47.8955
2018-11-02,48.7676
2018-11-09,50.2982
2018-11-16,49.9512
2018-11-23,48.6875
2018-11-30,50.2804
2018-12-07,49.0434
2018-12-14,48.7142
2018-12-21,45.8103
2018-12-28,46.5108
2019-01-04,46.8332
2019-01-11,47.7644
2019-01-18,48.7405
2019-01-25,48.7316
2019-02-01,49.6897
