date,price
2006-05-05,34.8012
2006-05-12,34.2178
2006-05-19,33.7991
2006-05-26,34.1766
2006-06-02,34.156
2006-06-09,33.5726
2006-06-16,33.6069
2006-06-23,33.3598
2006-06-30,33.826
2006-07-07,33.5921
2006-07-14,32.8545
2006-07-21,33.1244
2006-07-28,33.936
2006-08-04,33.8741
2006-08-11,33.6472
2006-08-18,34.4794
2006-08-25,34.2387
2006-09-01,34.8233
2006-09-08,34.6857
2006-09-15,35.2085
2006-09-22,34.8989
2006-09-29,35.4547
2006-10-06,35.7722
2006-10-13,36.0689
2006-10-20,36.1656
2006-10-27,36.4623
2006-11-03,36.0965
2006-11-10,36.345
2006-11-17,36.8972
2006-11-24,36.8488
2006-12-01,36.4485
2006-12-08,37.1111
2006-12-15,37.4424
2006-12-22,37.1049
2006-12-29,37.3199
2007-01-05,37.1812
2007-01-12,37.7428
2007-01-19,37.8607
2007-01-26,37.4933
2007-02-02,38.2213
2007-02-09,37.9577
2007-02-16,38.3877
2007-02-23,38.3045
2007-03-02,36.7513
2007-03-09,37.1257
2007-03-16,36.5294
2007-03-23,37.7775
2007-03-30,37.3351
2007-04-05,37.7943
2007-04-13,37.9126
2007-04-20,38.998
2007-04-27,39.1093
2007-05-04,39.3529
2007-05-11,39.3668
2007-05-18,39.6799
2007-05-25,39.5755
2007-06-01,40.0973
2007-06-08,39.3947
2007-06-15,40.0277
2007-06-22,39.4294
2007-06-29,39.3187
2007-07-06,39.9889
2007-07-13,40.6173
2007-07-20,40.1635
2007-07-27,38.3972
2007-08-03,37.9783
2007-08-10,38.9138
2007-08-17,38.3414
2007-08-24,39.3187
2007-08-31,39.207
2007-09-07,38.6136
2007-09-14,39.5072
2007-09-21,40.5181
2007-09-28,40.5533
2007-10-05,41.142
2007-10-12,41.0859
2007-10-19,39.4671
2007-10-26,40.1679
2007-11-02,39.348
2007-11-09,38.4721
2007-11-16,38.9765
2007-11-23,38.5071
2007-11-30,39.6003
2007-12-07,40.2029
2007-12-14,39.3831
2007-12-21,39.7719
2007-12-28,39.6522
2008-01-04,38.1238
2008-01-11,37.9618
2008-01-18,36.2926
2008-01-25,36.5109
2008-02-01,37.9689
2008-02-08,36.5955
2008-02-15,37.0533
2008-02-22,37.1942
2008-02-29,36.7504
2008-03-07,35.9828
2008-03-14,36.0814
2008-03-20,37.4688
2008-03-28,37.1487
2008-04-04,38.457
2008-04-11,37.5376
2008-04-18,38.655
2008-04-25,38.556
2008-05-02,39.0298
2008-05-09,38.1458
2008-05-16,38.9492
2008-05-23,38.0468
2008-05-30,38.5843
2008-06-06,37.7639
2008-06-13,37.9195
2008-06-20,36.689
2008-06-27,35.6027
2008-07-03,35.4178
2008-07-11,35.1889
2008-07-18,35.7662
2008-07-25,35.8516
2008-08-01,35.816
2008-08-08,37.0106
2008-08-15,37.2097
2008-08-22,36.9466
2008-08-29,36.6764
2008-09-05,36.1004
2008-09-12,36.4489
2008-09-19,36.1004
2008-09-26,35.1643
2008-10-03,32.5331
2008-10-10,27.4064
2008-10-17,28.1858
2008-10-24,26.6128
2008-10-31,29.387
2008-11-07,28.7506
2008-11-14,27.6781
2008-11-21,26.3482
2008-11-28,28.6362
2008-12-05,28.3574
2008-12-12,28.0142
2008-12-19,28.2215
2008-12-26,28.0619
2009-01-02,29.6597
2009-01-09,28.2807
2009-01-16,27.6157
2009-01-23,26.6297
2009-01-30,26.6872
2009-02-06,27.7596
2009-02-13,26.4137
2009-02-20,25.0391
2009-02-27,23.8803
2009-03-06,22.2753
2009-03-13,24.1682
2009-03-20,24.4705
2009-03-27,26.0664
2009-04-03,26.7917
2009-04-09,27.1978
2009-04-17,27.4792
2009-04-24,27.2432
2009-05-01,27.4952
2009-05-08,28.953
2009-05-15,27.7708
2009-05-22,28.0464
2009-05-29,28.7789
2009-06-05,29.6347
2009-06-12,29.7218
2009-06-19,28.953
2009-06-26,28.9209
2009-07-02,28.4175
2009-07-10,27.9505
2009-07-17,29.5921
2009-07-24,30.5479
2009-07-31,30.8178
2009-08-07,31.4015
2009-08-14,31.1316
2009-08-21,31.7882
2009-08-28,31.7371
2009-09-04,31.5168
2009-09-11,32.1749
2009-09-18,32.9336
2009-09-25,32.2626
2009-10-02,31.8885
2009-10-09,33.2453
2009-10-16,33.7441
2009-10-23,33.4947
