date,price
2004-02-06,28.5899
2004-02-13,28.8834
2004-02-20,28.8546
2004-02-27,29.0791
2004-03-05,29.4359
2004-03-12,28.3482
2004-03-19,28.3137
2004-03-26,28.141
2004-04-02,28.7589
2004-04-08,28.7994
2004-04-16,28.5679
2004-04-23,28.6721
2004-04-30,28.0992
2004-05-07,27.7115
2004-05-14,27.6479
2004-05-21,27.6132
2004-05-28,28.3075
2004-06-04,28.4233
2004-06-10,28.701
2004-06-18,28.811
2004-06-25,29.0482
2004-07-02,28.784
2004-07-09,28.5513
2004-07-16,28.5396
2004-07-23,28.2081
2004-07-30,28.5687
2004-08-06,27.8474
2004-08-13,27.8997
2004-08-20,28.8654
2004-08-27,29.0458
2004-09-03,29.4122
2004-09-10,29.61
2004-09-17,29.7299
2004-09-24,29.3483
2004-10-01,29.7733
2004-10-08,29.7323
2004-10-15,29.3754
2004-10-22,28.995
2004-10-29,29.785
2004-11-05,30.7614
2004-11-12,31.2947
2004-11-19,30.9144
2004-11-26,31.365
2004-12-03,31.4878
2004-12-10,31.4059
2004-12-17,31.8389
2004-12-23,32.2954
2004-12-31,32.2682
2005-01-07,31.6258
2005-01-14,31.5491
2005-01-21,31.2721
2005-01-28,31.2368
2005-02-04,32.2917
2005-02-11,32.5334
2005-02-18,32.4686
2005-02-25,32.8811
2005-03-04,33.1935
2005-03-11,32.6454
2005-03-18,32.4391
2005-03-24,31.8002
2005-04-01,32.0491
2005-04-08,32.1736
2005-04-15,31.1661
2005-04-22,31.4091
2005-04-29,31.6402
2005-05-06,32.0906
2005-05-13,31.3143
2005-05-20,32.3336
2005-05-27,32.5647
2005-06-03,32.5765
2005-06-10,32.6654
2005-06-17,33.3588
2005-06-24,32.7603
2005-07-01,32.8683
2005-07-08,33.2736
2005-07-15,33.6074
2005-07-22,33.679
2005-07-29,33.7147
2005-08-05,33.4226
2005-08-12,33.7028
2005-08-19,33.4346
2005-08-26,33.1008
2005-09-02,33.6194
2005-09-09,34.2691
2005-09-16,34.2989
2005-09-23,33.679
2005-09-30,34.0903
2005-10-07,33.0398
2005-10-14,32.6136
2005-10-21,32.2354
2005-10-28,33.0338
2005-11-04,33.466
2005-11-11,33.9402
2005-11-18,34.2044
2005-11-25,34.8767
2005-12-02,34.7626
2005-12-09,34.6486
2005-12-16,34.9367
2005-12-23,35.0687
2005-12-30,34.598
2006-01-06,35.5723
2006-01-13,35.6873
2006-01-20,35.1063
2006-01-27,35.7841
2006-02-03,35.2939
2006-02-10,35.3484
2006-02-17,36.0686
2006-02-24,36.232
2006-03-03,36.1291
2006-03-10,35.9657
2006-03-17,36.7766
2006-03-24,36.7113
2006-03-31,36.5286
2006-04-07,36.4617
2006-04-13,36.3094
2006-04-21,37.1497
2006-04-28,37.4176
2006-05-05,37.9474
2006-05-12,36.961
2006-05-19,36.3033
2006-05-26,36.687
2006-06-02,37.0523
2006-06-09,36.2972
2006-06-16,36.005
2006-06-23,35.8771
2006-06-30,36.8458
2006-07-07,36.9867
2006-07-14,36.2703
2006-07-21,36.5703
2006-07-28,37.7887
2006-08-04,37.9234
2006-08-11,37.5316
2006-08-18,38.3581
2006-08-25,38.2846
2006-09-01,38.6091
2006-09-08,38.2969
2006-09-15,38.6765
2006-09-22,38.6704
2006-09-29,39.2324
2006-10-06,39.5896
2006-10-13,40.1008
2006-10-20,40.2424
2006-10-27,40.5442
2006-11-03,40.1808
2006-11-10,40.6612
2006-11-17,41.154
2006-11-24,41.1047
2006-12-01,41.2463
2006-12-08,41.5543
2006-12-15,42.3057
2006-12-22,41.9854
2006-12-29,42.2895
2007-01-05,41.7558
2007-01-12,42.184
2007-01-19,42.3515
2007-01-26,42.2584
2007-02-02,43.1334
2007-02-09,42.8666
2007-02-16,43.4064
2007-02-23,43.1768
2007-03-02,41.4704
2007-03-09,41.9109
2007-03-16,41.3959
2007-03-23,43.0341
2007-03-30,42.7016
2007-04-05,43.2449
2007-04-13,43.5633
2007-04-20,44.5623
2007-04-27,44.7683
2007-05-04,45.1742
2007-05-11,45.3927
2007-05-18,45.9047
2007-05-25,45.8111
2007-06-01,46.3043
2007-06-08,45.349
2007-06-15,46.142
2007-06-22,45.143
2007-06-29,45.1243
2007-07-06,45.865
2007-07-13,46.4676
2007-07-20,45.7269
2007-07-27,42.9337
2007-08-03,42.1805
2007-08-10,42.8709
2007-08-17,43.3919
2007-08-24,44.1201
2007-08-31,43.6242
2007-09-07,43.053
2007-09-14,44.0384
2007-09-21,45.3063
2007-09-28,45.1758
2007-10-05,46.1929
2007-10-12,46.0729
2007-10-19,43.9565
2007-10-26,44.9673
2007-11-02,43.7544
2007-11-09,42.3456
2007-11-16,42.3077
2007-11-23,41.5938
2007-11-30,42.9647
2007-12-07,43.6533
2007-12-14,42.4277
2007-12-21,42.6818
2007-12-28,42.5544
2008-01-04,40.9426
2008-01-11,40.8535
2008-01-18,38.4136
2008-01-25,38.8914
2008-02-01,41.1529
2008-02-08,39.0379
2008-02-15,39.5157
2008-02-22,39.6431
2008-02-29,38.7194
2008-03-07,37.3943
2008-03-14,37.3879
2008-03-20,38.9551
2008-03-28,38.3479
2008-04-04,40.0032
2008-04-11,38.7714
2008-04-18,40.2535
2008-04-25,40.5678
2008-05-02,41.0041
2008-05-09,39.9904
2008-05-16,40.9977
2008-05-23,39.5285
2008-05-30,39.9647
2008-06-06,38.688
2008-06-13,38.5019
2008-06-20,37.2122
2008-06-27,36.0924
2008-07-03,35.7435
2008-07-11,35.0133
2008-07-18,35.8986
2008-07-25,35.7241
2008-08-01,36.0214
2008-08-08,36.9067
2008-08-15,36.8227
2008-08-22,36.5642
2008-08-29,36.6805
2008-09-05,36.0149
2008-09-12,36.1248
2008-09-19,36.5577
2008-09-26,35.4771
2008-10-03,32.5897
2008-10-10,26.7822
2008-10-17,27.5513
2008-10-24,25.9544
2008-10-31,28.6202
2008-11-07,27.4731
2008-11-14,25.7959
2008-11-21,23.4711
2008-11-28,26.717
2008-12-05,26.3129
2008-12-12,26.4237
2008-12-19,26.4107
2008-12-26,26.0935
2009-01-02,27.8726
2009-01-09,26.5613
2009-01-16,24.914
2009-01-23,24.3144
2009-01-30,24.1101
2009-02-06,25.0919
2009-02-13,23.6687
2009-02-20,21.6392
2009-02-27,20.8419
2009-03-06,19.0232
2009-03-13,21.514
2009-03-20,21.8896
2009-03-27,23.3633
2009-04-03,24.1825
2009-04-09,24.7286
2009-04-17,25.2015
2009-04-24,24.9018
2009-05-01,25.1948
2009-05-08,27.4925
2009-05-15,25.7143
2009-05-22,25.8275
2009-05-29,26.8132
2009-06-05,27.2128
2009-06-12,27.5254
2009-06-19,26.5668
2009-06-26,26.4162
2009-07-02,25.8328
2009-07-10,25.1353
2009-07-17,26.9595
2009-07-24,28.2538
2009-07-31,28.636
2009-08-07,29.7091
2009-08-14,29.5079
2009-08-21,30.2456
2009-08-28,30.3864
2009-09-04,29.8164
2009-09-11,30.6681
2009-09-18,31.5667
2009-09-25,30.7743
2009-10-02,30.0857
2009-10-09,31.5775
2009-10-16,32.0771
2009-10-23,31.7328
2009-10-30,30.2815
2009-11-06,31.2063
2009-11-13,31.9016
2009-11-20,31.9488
2009-11-27,31.9286
2009-12-04,32.4348
2009-12-11,32.4956
2009-12-18,32.2863
2009-12-24,32.8623
2009-12-31,32.5083
2010-01-08,33.4887
2010-01-15,33.2708
2010-01-22,32.0726
2010-01-29,31.7118
2010-02-05,31.3782
2010-02-12,31.6777
2010-02-19,32.5968
2010-02-26,32.5413
2010-03-05,33.4682
2010-03-12,33.8359
2010-03-19,34.1967
2010-03-26,34.4001
2010-04-01,34.8459
2010-04-09,35.3592
2010-04-16,35.2086
2010-04-23,35.9684
2010-04-30,35.1607
2010-05-07,32.9978
2010-05-14,33.7644
2010-05-21,32.3202
2010-05-28,32.4297
2010-06-04,31.5673
2010-06-11,32.4982
2010-06-18,33.2511
2010-06-25,32.1004
2010-07-02,30.433
2010-07-09,32.1831
2010-07-16,31.6457
2010-07-23,32.6792
2010-07-30,32.7963
2010-08-06,33.3888
2010-08-13,32.2451
2010-08-20,31.8593
2010-08-27,31.7972
2010-09-03,33.0168
2010-09-10,33.1821
2010-09-17,33.4784
2010-09-24,33.9655
2010-10-01,33.9933
2010-10-08,34.5898
2010-10-15,34.562
2010-10-22,34.7632
2010-10-29,34.6973
2010-11-05,35.9804
2010-11-12,35.2695
2010-11-19,35.2001
2010-11-26,34.6869
2010-12-03,35.8244
2010-12-10,36.4764
2010-12-17,36.6012
2010-12-23,37.1353
2010-12-31,37.2347
2011-01-07,37.7025
2011-01-14,38.331
2011-01-21,38.2052
2011-01-28,38.0027
2011-02-04,39.0081
2011-02-11,39.5946
2011-02-18,40.1462
2011-02-25,39.5248
2011-03-04,39.5451
2011-03-11,39.1827
2011-03-18,38.5892
2011-03-25,39.432
2011-04-01,40.0498
2011-04-08,40.0498
2011-04-15,39.7409
2011-04-21,40.0498
2011-04-29,41.0047
2011-05-06,40.2745
2011-05-13,40.1691
