date,price
2006-11-24,28.5424
2006-12-01,28.5141
2006-12-08,28.8651
2006-12-15,29.3461
2006-12-22,29.1735
2006-12-29,29.3666
2007-01-05,29.094
2007-01-12,29.2473
2007-01-19,29.3723
2007-01-26,29.2189
2007-02-02,29.7698
2007-02-09,29.6222
2007-02-16,29.9232
2007-02-23,29.805
2007-03-02,28.6681
2007-03-09,28.9861
2007-03-16,28.6113
2007-03-23,29.6846
2007-03-30,29.4322
2007-04-05,29.8096
2007-04-13,30.003
2007-04-20,30.6196
2007-04-27,30.8593
2007-05-04,31.099
2007-05-11,31.0534
2007-05-18,31.5443
2007-05-25,31.3103
2007-06-01,31.647
2007-06-08,31.1618
2007-06-15,31.5386
2007-06-22,30.825
2007-06-29,30.9495
2007-07-06,31.3283
2007-07-13,31.931
2007-07-20,31.4029
2007-07-27,30.2492
2007-08-03,29.5374
2007-08-10,30.1516
2007-08-17,29.9737
2007-08-24,30.7675
2007-08-31,30.4788
2007-09-07,30.1229
2007-09-14,30.76
2007-09-21,31.644
2007-09-28,31.5682
2007-10-05,32.117
2007-10-12,31.9956
2007-10-19,30.7133
2007-10-26,31.3684
2007-11-02,30.4996
2007-11-09,29.7487
2007-11-16,29.8352
2007-11-23,29.3905
2007-11-30,30.3956
2007-12-07,30.8473
2007-12-14,30.1051
2007-12-21,30.2449
2007-12-28,29.9827
2008-01-04,28.9281
2008-01-11,28.899
2008-01-18,27.2269
2008-01-25,27.5939
2008-02-01,29.2544
2008-02-08,27.7861
2008-02-15,28.1194
2008-02-22,28.0542
2008-02-29,27.4191
2008-03-07,26.6267
2008-03-14,26.6966
2008-03-20,28.0309
2008-03-28,27.495
2008-04-04,28.4873
2008-04-11,27.626
2008-04-18,28.3757
2008-04-25,28.5225
2008-05-02,29.0333
2008-05-09,28.2348
2008-05-16,28.8161
2008-05-23,27.8884
2008-05-30,28.27
2008-06-06,27.2837
2008-06-13,26.9901
2008-06-20,26.2239
2008-06-27,25.3317
2008-07-03,25.1209
2008-07-11,24.9078
2008-07-18,25.6064
2008-07-25,25.5117
2008-08-01,25.8136
2008-08-08,26.5715
2008-08-15,26.5774
2008-08-22,26.3228
2008-08-29,26.2956
2008-09-05,26.0208
2008-09-12,26.2754
2008-09-19,26.7668
2008-09-26,25.9983
2008-10-03,24.1827
2008-10-10,20.9934
2008-10-17,20.7485
2008-10-24,19.6018
2008-10-31,21.3398
2008-11-07,20.6648
2008-11-14,19.6018
2008-11-21,17.9295
2008-11-28,20.1572
2008-12-05,20.0318
2008-12-12,19.5755
2008-12-19,19.7588
2008-12-26,19.4944
2009-01-02,20.7433
2009-01-09,19.6211
2009-01-16,18.3903
2009-01-23,17.8472
2009-01-30,17.6421
2009-02-06,18.2816
2009-02-13,17.262
2009-02-20,15.7958
2009-02-27,15.2347
2009-03-06,13.9194
2009-03-13,15.7415
2009-03-20,16.1397
2009-03-27,17.2074
2009-04-03,17.7137
2009-04-09,18.1407
2009-04-17,18.5676
2009-04-24,18.2993
2009-05-01,18.4456
2009-05-08,20.0133
2009-05-15,18.8238
2009-05-22,18.8754
2009-05-29,19.4826
2009-06-05,19.7693
2009-06-12,19.995
2009-06-19,19.3972
2009-06-26,19.321
2009-07-02,19.0255
2009-07-10,18.5762
2009-07-17,19.8441
2009-07-24,20.7243
2009-07-31,21.0875
2009-08-07,21.8569
2009-08-14,21.6599
2009-08-21,22.1893
2009-08-28,22.2754
2009-09-04,21.8815
2009-09-11,22.3678
2009-09-18,23.0694
2009-09-25,22.5126
2009-10-02,22.0601
2009-10-09,23.1201
2009-10-16,23.368
2009-10-23,23.1449
2009-10-30,22.1469
2009-11-06,22.742
2009-11-13,23.2626
2009-11-20,23.3556
2009-11-27,23.3618
2009-12-04,23.7585
2009-12-11,23.7709
2009-12-18,23.5354
2009-12-24,23.9897
2009-12-31,23.7522
2010-01-08,24.2022
2010-01-15,24.2022
2010-01-22,23.3397
2010-01-29,23.0209
2010-02-05,22.8271
2010-02-12,23.0959
2010-02-19,23.7647
2010-02-26,23.5834
2010-03-05,24.221
2010-03-12,24.401
2010-03-19,24.7335
2010-03-26,24.808
2010-04-01,25.0469
2010-04-09,25.3235
2010-04-16,25.3801
2010-04-23,25.7636
2010-04-30,25.3046
2010-05-07,23.8649
2010-05-14,24.3616
2010-05-21,23.3557
2010-05-28,23.3117
2010-06-04,22.7836
2010-06-11,23.417
2010-06-18,23.9655
2010-06-25,23.1062
2010-07-02,22.1941
2010-07-09,23.2772
2010-07-16,23.0809
2010-07-23,23.8789
2010-07-30,23.9359
2010-08-06,24.3287
2010-08-13,23.6383
2010-08-20,23.4609
2010-08-27,23.4482
2010-09-03,24.1568
2010-09-10,24.2463
2010-09-17,24.563
2010-09-24,24.9975
2010-10-01,24.9592
2010-10-08,25.3994
2010-10-15,25.5206
2010-10-22,25.6577
2010-10-29,25.6673
2010-11-05,26.3753
2010-11-12,25.8905
2010-11-19,25.9352
2010-11-26,25.6736
2010-12-03,26.4199
2010-12-10,26.7771
2010-12-17,26.994
2010-12-23,27.1283
2010-12-31,27.1298
2011-01-07,27.2712
2011-01-14,27.4897
2011-01-21,27.5475
2011-01-28,27.419
2011-02-04,27.9845
2011-02-11,28.2479
2011-02-18,28.627
2011-02-25,28.28
2011-03-04,28.4021
2011-03-11,28.1515
2011-03-18,27.6439
2011-03-25,28.3893
2011-04-01,28.8358
2011-04-08,28.9134
2011-04-15,28.9199
2011-04-21,29.1723
2011-04-29,29.8413
2011-05-06,29.4117
2011-05-13,29.5541
2011-05-20,29.5541
2011-05-27,29.3923
2011-06-03,28.7581
2011-06-10,28.3006
2011-06-17,28.5316
2011-06-24,28.3796
2011-07-01,29.6968
2011-07-08,29.794
2011-07-15,29.3382
2011-07-22,29.6903
2011-07-29,28.5361
2011-08-05,26.9906
2011-08-12,26.6189
2011-08-19,26.019
2011-08-26,26.9254
2011-09-02,26.971
2011-09-09,26.5276
2011-09-16,27.7862
2011-09-23,26.2452
2011-09-30,26.5607
2011-10-07,26.9878
2011-10-14,28.1837
2011-10-21,28.6963
2011-10-28,29.3074
2011-11-04,28.7357
2011-11-11,29.1628
2011-11-18,28.3283
2011-11-25,27.1915
2011-12-02,28.9328
2011-12-09,29.2745
2011-12-16,28.946
2011-12-23,30.0898
2011-12-30,29.9904
2012-01-06,30.2025
2012-01-13,30.4013
2012-01-20,30.8717
2012-01-27,30.6928
2012-02-03,31.097
2012-02-10,30.9711
2012-02-17,31.4283
2012-02-24,31.4615
2012-03-02,31.5344
