date,price
1999-11-12,12.6013
1999-11-19,12.4407
1999-11-26,12.4579
1999-12-03,12.6398
1999-12-10,13.5365
1999-12-17,13.9216
1999-12-23,14.4313
1999-12-31,14.8061
2000-01-07,14.6712
2000-01-14,13.8145
2000-01-21,13.3733
2000-01-28,11.8076
2000-02-04,12.0604
2000-02-11,12.0068
2000-02-18,10.227
2000-02-25,9.5309
2000-03-03,11.2722
2000-03-10,10.2677
2000-03-17,11.9543
2000-03-24,11.9007
2000-03-31,12.1152
2000-04-07,13.1873
2000-04-14,11.7935
2000-04-20,12.3703
2000-04-28,11.875
2000-05-05,11.0023
2000-05-12,12.1816
2000-05-19,12.2352
2000-05-26,11.5791
2000-06-02,12.6641
2000-06-09,11.5791
2000-06-16,11.5659
2000-06-23,11.538
2000-06-30,12.3709
2000-07-07,13.2145
2000-07-14,12.7723
2000-07-21,12.8131
2000-07-28,12.5984
2000-08-04,11.3641
2000-08-11,11.1903
2000-08-18,10.9219
2000-08-25,10.8404
2000-09-01,10.4647
2000-09-08,11.1903
2000-09-15,11.1619
2000-09-22,10.8524
2000-09-29,10.3431
2000-10-06,9.7779
2000-10-13,9.6705
2000-10-20,10.0057
2000-10-27,9.2944
2000-11-03,10.182
2000-11-10,9.389
2000-11-17,10.4355
2000-11-24,9.7113
2000-12-01,11.0007
2000-12-08,11.6992
2000-12-15,10.7192
2000-12-22,11.2961
2000-12-29,11.4316
2001-01-05,11.6059
2001-01-12,11.3908
2001-01-19,10.9325
2001-01-26,11.5392
2001-02-02,11.7823
2001-02-09,10.8442
2001-02-16,11.266
2001-02-23,10.8184
2001-03-02,10.5258
2001-03-09,10.926
2001-03-16,10.0976
2001-03-23,10.2502
2001-03-30,10.8815
2001-04-06,11.0409
2001-04-12,10.7091
2001-04-20,11.1422
2001-04-27,11.3836
2001-05-04,11.4245
2001-05-11,11.6572
2001-05-18,11.2133
2001-05-25,11.0323
2001-06-01,11.1444
2001-06-08,10.9935
2001-06-15,10.3751
2001-06-22,10.7846
2001-06-29,10.53
2001-07-06,10.2149
2001-07-13,11.4147
2001-07-20,11.7124
2001-07-27,11.9563
2001-08-03,11.9519
2001-08-10,11.5657
2001-08-17,10.9615
2001-08-24,10.9939
2001-08-31,10.3681
2001-09-07,9.9733
2001-09-10,9.9754
2001-09-21,9.6515
2001-09-28,10.6975
2001-10-05,11.3242
2001-10-12,11.4322
2001-10-19,11.456
2001-10-26,11.5446
2001-11-02,11.4474
2001-11-09,11.9077
2001-11-16,11.9077
2001-11-23,12.059
2001-11-30,11.9185
2001-12-07,11.9595
2001-12-14,11.6829
2001-12-21,12.4569
2001-12-28,12.6257
2002-01-04,12.4634
2002-01-11,12.074
2002-01-18,12.193
2002-01-25,12.6365
2002-02-01,12.8226
2002-02-08,12.7988
2002-02-15,12.9892
2002-02-22,12.9719
2002-03-01,13.5908
2002-03-08,13.528
2002-03-15,13.7942
2002-03-22,13.4423
2002-03-28,13.2798
2002-04-05,12.8119
2002-04-12,13.2646
2002-04-19,12.7664
2002-04-26,12.0883
2002-05-03,11.9691
2002-05-10,11.6247
2002-05-17,12.6364
2002-05-24,12.0276
2002-05-31,11.72
2002-06-07,11.7915
2002-06-14,12.3374
2002-06-21,11.9262
2002-06-28,11.9327
2002-07-05,12.1475
2002-07-12,11.4642
2002-07-19,10.0867
2002-07-26,10.4512
2002-08-02,10.0
2002-08-09,10.6724
2002-08-16,11.6681
2002-08-23,11.5379
2002-08-30,11.6008
2002-09-06,11.449
2002-09-13,11.8004
2002-09-20,11.8818
2002-09-27,11.1303
2002-10-04,11.241
2002-10-11,11.6929
2002-10-18,12.225
2002-10-25,12.4531
2002-11-01,11.8493
2002-11-08,11.7363
2002-11-15,12.0534
2002-11-22,11.6777
2002-11-29,11.7081
2002-12-06,11.5213
2002-12-13,10.9782
2002-12-20,11.0489
2002-12-27,10.6943
2003-01-03,10.8771
2003-01-10,11.2295
2003-01-17,10.8706
2003-01-24,10.2897
2003-01-31,10.3985
2003-02-07,10.1788
2003-02-14,10.6922
2003-02-21,10.6378
2003-02-28,10.455
