date,price
1999-11-12,13.6765
1999-11-19,13.7812
1999-11-26,13.919
1999-12-03,13.8419
1999-12-10,13.0756
1999-12-17,12.7155
1999-12-23,12.8869
1999-12-31,12.7321
2000-01-07,13.4785
2000-01-14,13.3568
2000-01-21,12.898
2000-01-28,12.6105
2000-02-04,12.6271
2000-02-11,11.9305
2000-02-18,11.7646
2000-02-25,11.1675
2000-03-03,11.2062
2000-03-10,10.8248
2000-03-17,11.6974
2000-03-24,11.4145
2000-03-31,11.7695
2000-04-07,12.0967
2000-04-14,12.0523
2000-04-20,12.6181
2000-04-28,12.3907
2000-05-05,12.8787
2000-05-12,12.9287
2000-05-19,13.3003
2000-05-26,13.4833
2000-06-02,12.851
2000-06-09,13.1616
2000-06-16,13.4648
2000-06-23,13.3759
2000-06-30,14.0263
2000-07-07,14.0097
2000-07-14,13.4982
2000-07-21,13.4148
2000-07-28,13.665
2000-08-04,13.9318
2000-08-11,13.5872
2000-08-18,13.4982
2000-08-25,13.6372
2000-09-01,13.2758
2000-09-08,13.1758
2000-09-15,13.187
2000-09-22,13.9181
2000-09-29,13.9404
2000-10-06,14.0464
2000-10-13,14.0799
2000-10-20,14.2306
2000-10-27,14.6212
2000-11-03,14.6994
2000-11-10,15.2686
2000-11-17,15.0677
2000-11-24,15.0677
2000-12-01,15.196
2000-12-08,15.224
2000-12-15,15.2355
2000-12-22,15.3923
2000-12-29,15.9856
2001-01-05,14.5527
2001-01-12,14.4127
2001-01-19,14.4463
2001-01-26,14.7374
2001-02-02,15.0452
2001-02-09,15.1964
2001-02-16,14.9053
2001-02-23,14.7094
2001-03-02,14.9109
2001-03-09,14.6702
2001-03-16,13.6473
2001-03-23,13.3105
2001-03-30,13.8775
2001-04-06,13.7091
2001-04-12,13.7259
2001-04-20,13.6866
2001-04-27,14.0683
2001-05-04,14.2704
2001-05-11,14.1357
2001-05-18,14.6017
2001-05-25,14.2592
2001-06-01,14.5455
2001-06-08,14.5006
2001-06-15,14.2596
2001-06-22,14.147
2001-06-29,13.6908
2001-07-06,13.6457
2001-07-13,13.6852
2001-07-20,14.2371
2001-07-27,13.9048
2001-08-03,14.1244
2001-08-10,14.1188
2001-08-17,14.3384
2001-08-24,14.6425
2001-08-31,14.1751
2001-09-07,14.0231
2001-09-10,14.3328
2001-09-21,13.2838
2001-09-28,14.1596
2001-10-05,14.363
2001-10-12,14.3234
2001-10-19,14.4647
2001-10-26,14.476
2001-11-02,14.3743
2001-11-09,14.346
2001-11-16,14.5099
