date,price
1999-11-12,12.0421
1999-11-19,11.9687
1999-11-26,11.7813
1999-12-03,12.0095
1999-12-10,11.8465
1999-12-17,11.9871
1999-12-23,11.8923
1999-12-31,11.6076
2000-01-07,11.3354
2000-01-14,11.125
2000-01-21,11.5004
2000-01-28,10.8981
2000-02-04,11.1828
2000-02-11,10.8198
2000-02-18,10.3124
2000-02-25,9.6689
2000-03-03,10.8198
2000-03-10,10.5516
2000-03-17,11.0701
2000-03-24,10.7792
2000-03-31,11.1075
2000-04-07,11.523
2000-04-14,11.4815
2000-04-20,11.4815
2000-04-28,11.8347
2000-05-05,11.4524
2000-05-12,11.7017
2000-05-19,11.5688
2000-05-26,11.6602
2000-06-02,11.8555
2000-06-09,12.1214
2000-06-16,12.0762
2000-06-23,12.1432
2000-06-30,11.4105
2000-07-07,11.9925
2000-07-14,11.8208
2000-07-21,11.7245
2000-07-28,11.5528
2000-08-04,11.9925
2000-08-11,11.8501
2000-08-18,11.7371
2000-08-25,11.7245
2000-09-01,12.1809
2000-09-08,12.7713
2000-09-15,12.8892
2000-09-22,12.7836
2000-09-29,13.628
2000-10-06,13.59
2000-10-13,13.3662
2000-10-20,13.3705
2000-10-27,13.7757
2000-11-03,14.2739
2000-11-10,14.409
2000-11-17,14.1557
2000-11-24,14.2359
2000-12-01,14.1346
2000-12-08,14.0755
2000-12-15,14.4056
2000-12-22,13.8851
2000-12-29,14.3254
2001-01-05,13.4621
2001-01-12,13.4751
2001-01-19,13.488
2001-01-26,13.4362
2001-02-02,13.5312
2001-02-09,13.8204
2001-02-16,13.816
2001-02-23,13.7858
2001-03-02,13.6822
2001-03-09,13.5873
2001-03-16,13.0843
2001-03-23,12.5844
2001-03-30,13.6016
2001-04-06,13.2887
2001-04-12,13.6668
2001-04-20,13.7712
2001-04-27,14.245
2001-05-04,14.1711
2001-05-11,14.0798
2001-05-18,14.4754
2001-05-25,14.2059
2001-06-01,14.2363
2001-06-08,13.8581
2001-06-15,13.4926
2001-06-22,13.3919
2001-06-29,13.637
2001-07-06,13.8122
2001-07-13,13.8472
2001-07-20,13.6151
2001-07-27,13.4707
2001-08-03,13.6108
2001-08-10,13.4663
2001-08-17,13.1336
2001-08-24,13.2824
2001-08-31,13.0329
2001-09-07,12.9716
2001-09-10,13.1861
2001-09-21,12.854
2001-09-28,12.9114
2001-10-05,13.1982
2001-10-12,13.0085
2001-10-19,13.0305
2001-10-26,12.4701
2001-11-02,12.3819
2001-11-09,12.6378
2001-11-16,12.5628
2001-11-23,12.4525
2001-11-30,12.0774
2001-12-07,12.223
2001-12-14,11.9803
2001-12-21,12.256
2001-12-28,12.4606
2002-01-04,12.6518
2002-01-11,12.3761
2002-01-18,12.296
2002-01-25,12.1048
2002-02-01,12.0425
2002-02-08,11.749
2002-02-15,11.9047
2002-02-22,11.7713
2002-03-01,12.2515
2002-03-08,12.5406
2002-03-15,12.5111
2002-03-22,12.538
2002-03-28,12.6322
2002-04-05,12.5246
2002-04-12,12.1346
2002-04-19,12.1615
2002-04-26,11.7939
2002-05-03,11.8343
2002-05-10,11.4532
2002-05-17,11.637
2002-05-24,12.0853
2002-05-31,11.767
2002-06-07,11.2874
2002-06-14,11.2112
2002-06-21,11.1336
2002-06-28,10.9752
2002-07-05,10.5814
2002-07-12,9.5586
2002-07-19,8.5222
2002-07-26,8.4859
2002-08-02,9.0426
2002-08-09,9.5133
2002-08-16,9.5586
2002-08-23,10.0247
2002-08-30,9.7305
2002-09-06,9.3775
2002-09-13,9.0517
2002-09-20,8.5186
2002-09-27,8.4407
2002-10-04,8.0008
2002-10-11,7.5517
2002-10-18,7.4876
2002-10-25,8.0879
2002-11-01,8.3995
2002-11-08,8.2116
2002-11-15,8.317
2002-11-22,8.7157
2002-11-29,8.6011
2002-12-06,8.3353
2002-12-13,8.7065
2002-12-20,8.9252
2002-12-27,8.8742
2003-01-03,9.1802
2003-01-10,9.4028
2003-01-17,9.1385
2003-01-24,8.8001
2003-01-31,8.6702
2003-02-07,8.2993
2003-02-14,8.1509
2003-02-21,8.3457
2003-02-28,8.2066
2003-03-07,8.3225
2003-03-14,8.3039
2003-03-21,8.78
2003-03-28,8.6628
2003-04-04,8.7612
2003-04-11,8.7331
2003-04-17,8.9674
2003-04-25,9.2391
2003-05-02,9.3141
2003-05-09,9.3703
2003-05-16,9.8482
2003-05-23,10.2605
2003-05-30,10.312
2003-06-06,10.3542
2003-06-13,10.4573
2003-06-20,10.6415
2003-06-27,10.4053
2003-07-03,10.3958
2003-07-11,10.1359
2003-07-18,9.8855
2003-07-25,9.9233
2003-08-01,9.7106
2003-08-08,9.7532
2003-08-15,9.8099
2003-08-22,9.791
2003-08-29,9.9469
2003-09-05,10.1501
2003-09-12,10.2351
2003-09-19,10.3696
2003-09-26,10.3505
2003-10-03,10.5794
2003-10-10,10.4792
2003-10-17,10.422
2003-10-24,10.4411
2003-10-31,10.5126
2003-11-07,10.3982
2003-11-14,10.4077
2003-11-21,10.2218
2003-11-28,10.5365
2003-12-05,10.6461
2003-12-12,10.7033
2003-12-19,10.9425
2003-12-26,11.135
2004-01-02,11.1976
2004-01-09,11.2072
2004-01-16,11.2265
2004-01-23,11.4478
2004-01-30,11.4574
2004-02-06,11.3323
2004-02-13,11.4382
2004-02-20,11.3756
2004-02-27,11.674
2004-03-05,11.8472
2004-03-12,11.5537
2004-03-19,11.6925
2004-03-26,11.6342
2004-04-02,11.7749
2004-04-08,11.6828
2004-04-16,11.4062
2004-04-23,11.4256
2004-04-30,11.2946
2004-05-07,11.0326
2004-05-14,10.9405
2004-05-21,10.9356
2004-05-28,11.4305
2004-06-04,11.3528
2004-06-10,11.348
2004-06-18,11.5203
2004-06-25,11.6132
2004-07-02,11.6083
2004-07-09,11.5447
2004-07-16,11.7845
2004-07-23,11.53
2004-07-30,11.8041
2004-08-06,11.9167
2004-08-13,11.9754
2004-08-20,12.0928
2004-08-27,12.1369
2004-09-03,12.3131
2004-09-10,12.362
2004-09-17,12.4154
2004-09-24,12.2673
2004-10-01,12.4598
2004-10-08,12.598
2004-10-15,12.6226
2004-10-22,12.6621
2004-10-29,12.9631
2004-11-05,13.2937
2004-11-12,13.728
2004-11-19,13.4714
2004-11-26,13.8711
2004-12-03,13.353
2004-12-10,13.3579
2004-12-17,13.7094
2004-12-23,13.9535
2004-12-31,13.8738
2005-01-07,13.4752
2005-01-14,13.7243
2005-01-21,13.6845
2005-01-28,14.0083
2005-02-04,14.4965
2005-02-11,14.4915
2005-02-18,14.4516
2005-02-25,14.5712
2005-03-04,14.8004
2005-03-11,14.5712
2005-03-18,14.6368
2005-03-24,14.4159
2005-04-01,14.682
2005-04-08,14.7823
2005-04-15,14.5615
2005-04-22,14.9179
2005-04-29,15.0835
2005-05-06,14.9681
2005-05-13,14.6418
2005-05-20,14.9932
2005-05-27,15.0785
2005-06-03,15.2994
2005-06-10,15.4198
2005-06-17,15.6202
2005-06-24,15.7467
