date,price
1999-11-12,19.8751
1999-11-19,20.0461
1999-11-26,19.6221
1999-12-03,20.0051
1999-12-10,20.4428
1999-12-17,20.689
1999-12-23,20.9414
1999-12-31,21.2509
2000-01-07,20.5011
2000-01-14,22.0765
2000-01-21,21.9733
2000-01-28,20.8106
2000-02-04,21.7669
2000-02-11,21.0927
2000-02-18,19.4003
2000-02-25,18.8087
2000-03-03,19.703
2000-03-10,19.1458
2000-03-17,20.164
2000-03-24,21.478
2000-03-31,21.0996
2000-04-07,21.1684
2000-04-14,19.0701
2000-04-20,20.3566
2000-04-28,20.8519
2000-05-05,19.8406
2000-05-12,20.0401
2000-05-19,19.8406
2000-05-26,19.2834
2000-06-02,20.6593
2000-06-09,20.5079
2000-06-16,20.7281
2000-06-23,20.2947
2000-06-30,20.336
2000-07-07,20.5561
2000-07-14,20.9207
2000-07-21,20.274
2000-07-28,19.8406
2000-08-04,20.8244
2000-08-11,20.7006
2000-08-18,20.7281
2000-08-25,20.845
2000-09-01,20.7281
2000-09-08,20.0814
2000-09-15,20.0608
2000-09-22,19.5242
2000-09-29,19.992
2000-10-06,20.1846
2000-10-13,19.2765
2000-10-20,19.0495
2000-10-27,19.4691
2000-11-03,20.5423
2000-11-10,19.5723
2000-11-17,19.3522
2000-11-24,18.6917
2000-12-01,18.5748
2000-12-08,19.3591
2000-12-15,19.0901
2000-12-22,18.5799
2000-12-29,18.7867
2001-01-05,19.4761
2001-01-12,20.2965
2001-01-19,20.0897
2001-01-26,19.9794
2001-02-02,20.1724
2001-02-09,20.1655
2001-02-16,20.1242
2001-02-23,19.5658
2001-03-02,19.7243
2001-03-09,19.7105
2001-03-16,18.6661
2001-03-23,17.7904
2001-03-30,18.4937
2001-04-06,18.3352
2001-04-12,18.6868
2001-04-20,19.9832
2001-04-27,19.8591
2001-05-04,19.9004
2001-05-11,19.9694
2001-05-18,20.7555
2001-05-25,20.852
2001-06-01,20.5555
2001-06-08,20.6176
2001-06-15,19.9362
2001-06-22,20.0811
2001-06-29,20.3846
2001-07-06,19.9086
2001-07-13,20.1156
2001-07-20,19.8879
2001-07-27,20.1225
2001-08-03,19.9983
2001-08-10,19.7293
2001-08-17,19.2395
2001-08-24,19.8741
2001-08-31,18.9636
2001-09-07,17.984
2001-09-10,17.7495
2001-09-21,15.1551
2001-09-28,16.2178
2001-10-05,16.4939
2001-10-12,16.8114
2001-10-19,16.2109
2001-10-26,16.7423
2001-11-02,16.6181
2001-11-09,17.0253
2001-11-16,17.9777
2001-11-23,18.1847
2001-11-30,18.1916
2001-12-07,19.0404
2001-12-14,18.2192
2001-12-21,18.307
2001-12-28,18.9223
2002-01-04,19.0951
2002-01-11,19.0467
2002-01-18,18.6458
2002-01-25,18.7011
2002-02-01,18.4591
2002-02-08,18.8393
2002-02-15,18.9085
2002-02-22,19.0813
2002-03-01,19.7104
2002-03-08,20.2151
2002-03-15,20.4865
2002-03-22,20.4104
2002-03-28,20.4657
2002-04-05,20.4242
2002-04-12,20.445
2002-04-19,20.9983
2002-04-26,20.611
2002-05-03,20.5072
2002-05-10,20.1061
2002-05-17,20.9361
2002-05-24,20.5487
2002-05-31,20.6248
2002-06-07,20.2652
2002-06-14,19.2346
2002-06-21,18.8657
2002-06-28,19.1493
2002-07-05,18.5613
2002-07-12,17.2261
2002-07-19,15.6833
2002-07-26,17.1776
2002-08-02,17.9317
2002-08-09,18.8241
2002-08-16,18.8449
2002-08-23,19.2738
2002-08-30,18.7757
2002-09-06,18.333
2002-09-13,18.4298
2002-09-20,17.7789
2002-09-27,17.6956
2002-10-04,17.536
2002-10-11,18.2577
2002-10-18,19.3681
2002-10-25,18.9725
2002-11-01,18.8268
2002-11-08,19.2709
2002-11-15,19.2778
2002-11-22,19.2917
2002-11-29,19.2154
2002-12-06,19.0627
2002-12-13,18.7227
2002-12-20,18.5831
2002-12-27,18.2418
2003-01-03,19.189
2003-01-10,19.1612
2003-01-17,18.8756
2003-01-24,18.3323
2003-01-31,18.4298
2003-02-07,17.9353
2003-02-14,17.6358
2003-02-21,17.9632
2003-02-28,18.0189
2003-03-07,18.1094
2003-03-14,17.7264
2003-03-21,19.0927
2003-03-28,18.8762
2003-04-04,19.2254
2003-04-11,18.7016
2003-04-17,18.6248
2003-04-25,19.0019
2003-05-02,19.6235
2003-05-09,19.6654
2003-05-16,20.0075
2003-05-23,19.3721
2003-05-30,19.6723
2003-06-06,20.3846
2003-06-13,20.4754
2003-06-20,21.1499
